rhx;rhy;rhz;rwx;rwy;rwz;rex;rey;rez;lhx;lhy;lhz;lwx;lwy;lwz;lex;ley;lez;sx;sy;sz;hx;hy;hz;timestamp;phase rh;phase lh;phase rhlh
7.209.346;5.252.768;1.901.412;7.183.744;4.820.295;1.923.542;7.084.957;3.767.977;2.026.878;509.015;5.033.009;1.883.826;5.114.858;4.729.912;1.909.708;5.124.958;3.781.438;2.004.444;6.130.223;3.869.203;2.034.096;6.003.799;12.147;2.044.084;5319537;Rest;Rest;Rest
720.895;5.250.996;1.901.464;718.298;4.818.417;1.923.562;7.087.756;3.780.946;2.026.576;5.090.289;5.032.696;1.883.762;5.114.738;47.292;1.909.499;5.124.704;3.780.933;2.004.339;6.130.024;3.868.819;2.034.009;6.003.653;1.214.751;2.044.075;5319584;Rest;Rest;Rest
7.208.313;5.251.234;1.901.316;7.182.773;4.818.606;192.346;7.090.181;3.786.681;2.026.267;50.894;5.031.878;1.883.592;5.115.074;4.728.474;1.909.354;5.124.372;3.780.317;2.004.256;61.284;3.869.363;2.033.832;6.002.188;1.215.098;2.043.834;5319600;Rest;Rest;Rest
721.228;5.249.667;1.901.208;7.182.195;4.817.311;1.923.396;709.174;3.789.702;2.026.109;5.089.321;5.031.943;1.883.587;5.114.949;4.728.196;1.909.217;5.123.978;3.779.789;2.004.011;6.127.533;3.868.739;2.033.775;6.002.392;1.215.074;2.043.794;5319647;Rest;Rest;Rest
7.211.859;5.246.654;1.901.551;7.182.312;481.409;192.367;709.282;3.804.772;2.025.181;5.088.512;5.031.935;1.883.506;5.115.265;4.727.612;1.908.846;5.124.131;3.779.891;2.003.972;6.128.089;3.870.317;2.033.514;6.002.903;1.215.377;204.385;5319678;Rest;Rest;Rest
7.211.184;5.243.958;1.901.572;7.181.207;4.811.492;1.923.807;7.092.184;3.794.261;2.025.856;5.088.328;5.031.034;1.883.536;5.115.674;4.726.551;1.908.803;512.372;3.778.783;200.392;6.127.106;3.869.559;2.033.479;6.001.495;1.217.045;2.043.409;5319709;Rest;Rest;Rest
7.207.571;5.246.693;1.901.653;7.180.819;4.813.387;1.923.461;7.095.297;3.776.695;2.027.066;5.085.014;5.030.042;1.883.565;5.115.574;4.725.742;1.908.805;5.123.575;3.777.833;2.003.861;6.126.643;3.868.397;2.033.402;6.000.963;1.216.914;2.043.357;5319741;Rest;Rest;Rest
7.208.065;5.246.846;190.164;7.180.773;4.813.514;1.923.464;7.097.055;3.799.742;2.024.766;5.083.517;5.028.439;188.356;5.115.718;4.724.246;19.088;5.123.204;3.775.968;2.003.694;6.126.369;3.868.244;203.336;6.001.008;121.691;2.043.383;5319772;Rest;Rest;Rest
7.262.784;517.928;1.893.528;7.181.384;4.814.327;1.923.278;7.098.739;3.814.798;2.023.212;508.411;5.028.132;1.883.472;5.115.659;472.404;1.908.779;5.123.177;3.775.515;2.003.568;6.126.042;3.868.123;2.033.323;6.000.989;1.217.013;204.336;5319803;Rest;Rest;Rest
7.261.835;5.178.896;1.893.524;7.180.965;4.814.567;192.314;7.096.405;3.791.454;202.485;5.084.297;5.028.415;1.883.508;511.579;4.724.127;1.908.709;5.123.178;377.562;2.003.515;6.126.273;3.868.188;2.033.288;6.000.918;1.216.928;2.043.365;5319850;Rest;Rest;Rest
726.158;5.177.594;189.377;7.181.094;4.814.384;1.923.162;7.095.925;3.783.645;2.025.644;508.558;5.029.034;1.883.791;5.115.427;4.724.043;1.908.717;512.313;3.775.417;2.003.471;6.125.411;3.867.619;2.033.259;6.000.782;1.216.771;2.043.352;5319866;Rest;Rest;Rest
7.261.472;5.177.565;1.893.771;7.181.171;481.472;192.307;7.097.055;3.790.247;2.024.875;5.085.645;5.028.779;1.883.695;5.115.124;4.723.777;1.908.618;5.123.384;3.775.185;2.003.394;6.125.403;3.866.039;2.033.252;6.000.543;121.643;2.043.379;5319912;Rest;Rest;Rest
7.261.919;5.177.635;1.893.774;718.264;4.815.555;1.922.914;7.097.462;3.791.435;2.024.839;5.086.253;5.029.046;1.883.525;5.115.239;4.724.031;190.845;5.123.754;3.775.553;2.003.287;6.126.015;3.865.242;2.033.186;5.999.851;1.215.966;204.337;5319944;Rest;Rest;Rest
7.211.774;524.815;1.900.836;718.272;481.531;1.922.871;7.098.431;3.793.437;2.024.704;5.086.317;5.029.495;18.834;5.115.101;4.724.457;1.908.354;512.376;3.775.683;200.306;6.125.828;3.865.232;2.033.148;5.999.905;1.215.833;2.043.393;5319975;Rest;Rest;Rest
721.217;5.247.905;1.901.103;7.182.759;4.814.622;1.922.828;7.101.552;3.778.211;2.026.269;5.083.138;5.029.037;1.883.352;5.115.012;4.724.247;1.908.305;5.124.545;3.775.345;2.002.953;6.126.602;3.864.421;2.033.164;6.000.843;1.214.809;2.043.496;5320006;Rest;Rest;Rest
7.212.461;5.247.501;1.901.128;718.321;4.814.139;1.922.863;7.103.909;3.797.485;2.024.809;5.085.143;5.029.383;1.883.189;5.115.071;4.724.466;1.908.207;5.125.036;3.775.561;2.002.861;6.126.387;3.864.588;2.033.143;6.000.823;1.214.431;2.043.703;5320037;Rest;Rest;Rest
7.213.393;5.245.512;1.901.122;7.183.443;4.812.322;1.923.017;7.107.308;3.813.174;2.023.622;5.084.884;5.052.445;1.881.099;5.114.853;4.747.693;1.906.225;5.128.843;3.799.511;2.001.212;6.126.466;3.864.537;2.033.159;60.008;1.214.197;2.043.734;5320069;Rest;Rest;Rest
7.214.799;524.733;1.902.051;7.183.474;4.812.847;1.922.882;7.106.923;3.813.997;2.023.486;5.085.214;5.052.121;1.881.217;5.114.821;474.705;1.906.236;5.129.361;3.798.761;2.001.187;612.595;3.865.688;2.033.021;6.000.658;1.214.187;2.043.751;5320162;Rest;Rest;Rest
7.215.279;5.251.116;1.901.604;7.184.793;4.816.674;1.922.579;7.107.363;3.815.122;2.023.368;5.083.306;5.051.115;1.881.442;5.115.167;4.745.944;1.906.329;5.130.037;3.797.481;2.001.213;6.127.247;3.868.897;2.033.023;6.002.224;1.225.497;204.456;5320162;Rest;Rest;Rest
7.215.607;5.250.569;1.901.438;7.184.707;4.816.253;1.922.551;710.832;3.811.742;2.023.541;5.082.734;5.066.816;1.880.107;5.114.941;4.761.569;1.904.965;5.131.716;3.813.854;2.000.206;61.278;3.868.919;2.033.018;6.001.918;1.224.063;2.044.566;5320178;Rest;Rest;Rest
721.561;5.249.846;1.901.395;718.469;4.815.487;1.922.534;7.109.781;381.442;2.023.399;5.083.391;5.062.331;1.880.641;5.115.053;4.756.732;1.905.382;5.132.379;3.808.539;2.000.413;6.127.546;3.868.851;2.033.032;6.001.806;1.222.753;2.044.611;5320209;Rest;Rest;Rest
7.247.933;5.181.172;1.897.581;7.184.659;4.815.327;1.922.524;7.110.009;3.814.294;2.023.471;5.081.916;5.071.965;1.879.854;5.114.961;4.766.604;1.904.625;5.134.792;3.819.057;1.999.956;6.127.501;3.868.836;2.033.026;6.000.235;1.221.542;2.044.474;5320241;Rest;Rest;Rest
7.247.937;5.181.376;1.897.588;7.184.652;4.815.335;1.922.523;7.111.001;3.816.741;2.023.178;5.082.431;506.713;1.879.993;5.115.352;4.762.168;1.904.948;5.135.228;3.814.724;2.000.348;6.129.001;3.870.204;2.032.984;6.001.051;1.218.548;2.045.411;5320272;Rest;Rest;Rest
7.207.057;524.827;1.900.794;7.184.011;481.421;192.256;7.110.917;381.668;2.023.175;5.082.725;5.054.173;1.880.984;5.115.533;4.749.337;1.906.035;513.808;3.801.771;2.001.369;6.128.698;3.869.861;2.033.006;600.118;1.216.697;2.045.705;5320303;Rest;Rest;Rest
7.207.334;524.871;1.900.844;7.183.666;481.441;1.922.452;7.108.445;3.802.052;2.024.352;5.081.971;5.071.676;1.879.463;5.115.059;4.766.836;1.904.526;5.141.787;3.820.223;200.027;6.129.019;3.870.059;2.032.974;6.004.194;1.214.183;2.046.283;5320350;Rest;Rest;Rest
7.211.358;5.249.599;1.900.979;7.184.848;4.815.202;1.922.433;7.107.937;3.791.773;2.024.834;5.087.414;5.063.046;1.879.982;5.115.501;4.757.982;1.905.207;5.143.072;3.811.235;2.000.891;6.129.752;3.870.813;2.032.936;6.004.491;121.408;2.046.392;5320366;Rest;Rest;Rest
7.214.125;5.250.367;1.901.569;7.184.816;4.815.292;1.922.379;7.107.789;3.788.372;2.025.068;5.088.309;5.050.837;1.881.178;5.115.818;4.745.482;1.906.316;5.143.696;3.798.289;2.001.798;6.129.885;3.871.059;2.032.968;6.004.468;1.213.948;20.464;5320412;Rest;Rest;Rest
7.213.532;524.755;1.901.759;7.183.282;4.812.595;1.922.675;7.109.725;3.793.947;2.024.827;5.096.985;5.052.204;1.881.687;5.116.263;4.745.347;1.906.423;5.143.912;3.797.939;200.182;6.128.836;3.874.843;2.032.827;600.358;1.214.006;2.046.303;5320444;Rest;Rest;Rest
7.214.861;5.246.682;1.901.731;718.364;4.811.801;1.922.713;7.111.809;3.802.446;2.024.398;5.097.854;5.051.385;1.881.749;5.116.787;4.744.573;1.906.546;5.144.434;3.797.164;2.001.955;6.129.246;3.875.134;203.286;6.003.857;1.213.311;204.658;5320475;Rest;Rest;Rest
7.214.958;5.252.481;1.901.307;7.186.374;4.817.604;1.922.505;7.111.603;3.789.515;2.025.323;5.097.895;5.050.389;1.881.863;5.117.093;4.743.638;1.906.712;514.511;3.796.203;2.002.113;6.129.901;3.875.633;2.032.877;6.003.613;1.213.017;2.046.592;5320506;Rest;Rest;Rest
7.217.751;5.253.287;1.902.426;7.186.612;4.817.337;1.922.637;7.112.266;3.791.902;2.025.169;5.104.984;5.046.828;1.881.791;511.781;4.740.875;1.907.219;5.145.123;3.793.238;2.002.544;6.129.793;3.875.359;2.032.889;6.003.811;1.212.764;2.046.615;5320537;Rest;Rest;Rest
7.218.696;5.253.964;1.902.202;718.725;4.818.213;1.922.627;7.113.051;3.788.901;2.025.475;5.108.371;5.072.703;1.879.532;5.117.955;4.767.808;1.905.547;514.978;3.821.987;2.001.665;6.129.433;3.877.695;2.032.778;6.003.743;1.212.723;2.046.618;5320569;Rest;Rest;Rest
7.223.918;5.254.592;1.902.723;7.188.228;4.818.586;192.271;7.112.746;3.785.067;2.025.826;5.108.327;506.163;1.880.819;5.118.295;4.756.345;1.906.672;5.150.819;3.810.038;2.002.564;6.130.404;3.878.001;2.032.784;600.361;1.212.683;2.046.626;5320616;Rest;Rest;Rest
7.224.187;5.254.788;1.902.749;7.188.673;4.818.712;1.922.752;7.111.466;3.770.213;2.027.132;5.107.448;5.051.616;1.882.038;5.118.974;4.746.217;1.907.838;5.149.861;3.799.501;2.003.571;6.131.021;3.876.679;2.032.927;6.003.558;1.212.265;2.046.725;5320647;Rest;Rest;Rest
7.271.843;5.164.926;1.895.688;7.190.521;4.818.256;192.286;7.113.219;3.766.786;2.027.648;5.107.139;5.059.625;1.881.381;5.119.641;4.754.629;1.907.336;5.150.945;3.808.268;2.003.235;6.131.876;3.876.642;2.033.054;6.004.674;1.210.848;204.717;5320678;Rest;Rest;Rest
7.271.767;5.165.357;1.895.737;7.191.968;4.818.674;1.923.044;7.115.366;3.759.109;2.028.594;5.112.407;5.069.778;1.880.555;5.119.728;4.764.997;1.906.677;5.150.939;3.818.753;2.002.639;6.134.095;3.875.865;2.033.074;6.006.042;1.210.107;2.047.301;5320709;Rest;Rest;Rest
7.270.994;5.165.838;1.895.634;7.192.117;4.818.749;1.923.027;7.116.369;3.773.535;2.027.685;5.115.322;5.072.779;1.880.511;511.981;4.768.115;19.067;5.151.899;3.821.388;2.002.435;6.134.178;3.875.795;2.033.145;6.007.386;1.209.252;2.047.723;5320741;Rest;Rest;Rest
7.271.202;516.672;1.895.559;719.387;4.819.621;1.922.999;7.118.453;379.961;2.025.651;511.502;5.062.107;1.881.816;5.120.863;4.757.099;1.907.819;5.154.352;3.809.841;2.003.298;6.135.398;3.875.507;2.033.266;6.006.174;1.208.484;2.047.856;5320772;Rest;Rest;Rest
7.270.891;5.165.881;1.895.671;7.194.833;4.817.993;1.923.244;7.117.307;3.786.659;202.699;5.117.776;50.484;1.883.096;5.121.875;4.743.258;1.909.037;515.454;3.795.917;2.004.498;6.135.953;3.875.401;2.033.348;6.007.245;1.207.325;2.048.283;5320803;Rest;Rest;Rest
7.271.241;5.166.025;1.895.744;7.196.894;4.817.963;1.923.466;7.119.558;3.792.642;2.026.773;5.119.946;5.044.159;1.883.586;5.122.891;4.739.567;1.909.778;5.155.836;3.791.573;2.004.938;6.136.379;3.876.128;2.033.497;6.007.834;1.206.772;2.048.325;5320834;Rest;Rest;Rest
7.271.099;5.166.735;1.895.688;7.197.403;4.818.474;1.923.442;7.120.629;3.782.987;2.027.744;5.121.645;5.034.141;1.884.439;5.123.406;4.729.774;1.910.727;5.157.035;3.781.368;2.005.687;6.137.302;387.528;2.033.708;6.007.746;1.206.312;2.048.496;5320866;Rest;Rest;Rest
7.271.227;5.167.202;1.895.772;7.198.434;4.818.934;1.923.604;7.120.201;3.780.383;2.027.963;5.125.472;5.033.223;1.884.491;512.389;4.729.127;1.910.892;5.157.872;3.780.449;2.005.723;6.139.572;387.447;2.033.935;6.007.915;1.205.525;2.048.634;5320912;Rest;Rest;Rest
7.272.243;5.167.416;1.896.073;7.201.093;4.818.866;1.924.077;7.120.232;3.778.065;2.028.084;512.812;5.032.465;1.884.808;5.124.029;4.728.211;1.911.114;5.159.348;377.955;2.005.934;6.141.145;3.874.983;2.033.991;6.006.819;120.495;2.048.772;5320944;Rest;Rest;Rest
7.272.117;5.166.622;1.896.341;7.201.766;481.766;1.924.423;7.120.788;3.774.716;2.028.404;5.128.498;5.027.505;1.885.267;5.124.694;4.723.356;191.161;5.158.846;3.774.838;2.006.521;6.141.039;3.871.915;2.034.429;6.008.544;1.202.747;2.049.648;5320975;Rest;Rest;Rest
7.272.195;5.166.404;189.634;7.202.364;4.817.118;1.924.431;7.121.552;3.770.828;2.028.956;513.133;5.025.248;1.885.771;5.125.466;4.720.979;1.912.032;5.159.515;3.772.144;2.006.797;614.222;3.870.847;2.034.602;6.010.705;120.129;2.050.198;5321006;Rest;Rest;Rest
7.271.872;5.159.569;1.897.405;7.202.948;4.817.626;1.924.451;7.121.489;3.768.484;2.029.197;513.219;5.025.566;18.862;5.127.005;4.721.097;191.236;5.159.978;3.769.113;200.736;6.143.825;3.870.812;2.034.876;6.010.729;120.133;2.050.222;5321037;Rest;Rest;Rest
7.273.097;5.153.723;1.898.735;7.204.625;4.818.339;1.924.708;7.122.972;3.784.027;2.028.386;5.132.894;5.025.309;1.886.296;5.127.413;4.720.964;1.912.496;516.012;3.767.713;2.007.683;614.324;386.902;2.035.177;6.010.587;1.200.926;205.037;5321069;Rest;Rest;Rest
7.275.889;5.141.599;1.901.038;7.207.922;4.816.097;1.925.565;7.123.661;3.780.313;202.888;5.132.918;5.025.473;1.886.571;5.128.549;4.721.143;1.912.771;5.161.047;3.765.187;2.008.164;6.143.904;3.869.705;2.035.362;6.010.706;120.097;205.038;5321116;Rest;Rest;Rest
7.275.909;5.139.529;1.901.707;7.208.815;4.816.566;1.925.866;7.123.045;37.766;2.029.144;5.134.106;5.025.745;1.886.703;5.128.734;4.721.363;1.912.853;516.134;3.765.527;2.008.198;6.144.641;3.870.248;2.035.674;6.010.257;120.065;2.050.506;5321147;Rest;Rest;Rest
7.275.991;5.139.139;1.902.073;7.209.771;4.817.943;1.926.123;7.123.958;3.773.878;2.029.433;5.136.281;5.027.083;1.887.228;5.128.923;47.219;1.912.965;516.232;3.761.115;200.895;6.145.952;3.869.538;203.594;6.010.856;1.198.706;2.051.013;5321178;Rest;Rest;Rest
7.275.922;5.139.141;1.902.134;7.210.275;4.819.296;1.926.154;71.239;3.783.904;2.028.932;5.136.584;5.027.228;1.887.607;5.130.238;4.721.945;191.329;5.162.449;375.862;2.009.501;6.146.639;3.868.414;2.036.173;6.010.981;1.198.767;2.051.121;5321209;Rest;Rest;Rest
7.274.065;5.134.675;1.902.578;7.209.947;4.818.306;1.926.275;7.123.119;3.777.308;2.029.704;513.908;5.039.568;1.886.773;51.317;4.734.456;1.912.507;5.165.516;3.787.718;2.008.281;614.777;3.867.863;2.036.491;6.010.599;1.198.529;2.051.268;5321241;Rest;Rest;Rest
7.274.191;5.134.752;190.265;7.210.652;4.819.388;1.926.338;7.122.511;3.776.348;2.029.799;5.140.692;5.030.105;1.887.868;5.132.818;4.725.072;1.913.615;5.165.626;3.778.479;2.009.587;6.148.259;3.867.883;203.659;6.010.621;1.198.356;2.051.438;5321272;Rest;Rest;Rest
72.741;5.133.678;1.902.997;7.210.949;4.819.388;1.926.513;7.122.425;3.768.857;2.030.404;5.142.891;5.030.358;1.888.468;5.133.002;4.725.084;1.914.053;516.608;3.776.188;2.010.022;6.149.331;3.868.718;2.036.802;6.010.949;1.197.967;2.051.628;5321303;Rest;Rest;Rest
7.273.565;5.132.964;1.903.226;7.210.881;4.819.453;1.926.613;7.122.764;3.768.364;2.030.536;514.285;5.037.307;1.888.216;5.133.192;4.731.931;1.913.737;5.166.825;3.785.256;2.009.559;6.151.386;386.622;2.037.235;6.014.956;1.193.764;2.052.958;5321334;Rest;Rest;Rest
727.317;5.129.241;1.903.941;7.211.127;4.817.752;1.927.076;7.124.173;3.766.372;2.030.899;5.145.566;5.033.127;1.888.737;513.391;4.727.861;1.914.258;5.167.707;378.139;2.010.177;615.378;386.756;2.037.489;6.017.636;1.192.182;2.053.509;5321366;Rest;Rest;Rest
727.347;5.129.008;1.904.269;7.211.784;4.818.173;1.927.369;7.124.615;3.781.052;2.030.247;5.145.267;5.031.316;1.889.174;5.134.236;472.587;1.914.599;5.166.164;3.767.914;2.011.369;6.152.873;3.866.575;2.037.714;6.018.249;1.192.032;2.053.548;5321412;Rest;Rest;Rest
7.274.056;5.128.275;1.904.672;7.212.688;4.818.136;1.927.713;7.122.633;3.770.355;2.031.363;5.146.457;5.032.709;1.889.195;5.134.608;4.727.576;1.914.736;5.166.436;3.767.698;2.011.537;6.154.417;3.867.121;2.037.925;6.019.796;1.191.702;2.053.462;5321444;Rest;Rest;Rest
7.273.611;5.128.134;1.904.654;7.212.476;4.818.248;1.927.689;7.123.008;376.976;2.031.556;514.707;5.033.931;1.889.217;5.135.171;4.728.743;191.471;5.166.792;3.767.659;2.011.603;615.514;3.869.828;2.038.039;601.976;1.191.702;205.347;5321491;Rest;Rest;Rest
7.273.625;5.128.167;1.904.687;7.212.638;4.818.553;1.927.727;7.122.902;3.768.594;2.031.714;5.148.533;5.034.734;1.889.374;5.135.213;4.729.568;191.483;5.167.097;3.766.231;2.011.856;6.156.598;3.868.738;2.038.205;602.164;1.193.231;2.053.186;5321522;Rest;Rest;Rest
7.273.449;5.127.837;1.904.819;7.212.644;481.856;1.927.814;7.122.721;3.767.107;2.031.941;5.149.204;5.035.064;1.889.433;5.135.191;4.729.963;1.914.884;5.169.584;3.782.638;201.089;6.157.403;38.702;2.038.332;6.021.356;1.192.878;2.053.494;5321537;Rest;Rest;Rest
7.272.501;5.126.297;1.905.111;7.212.152;4.817.811;1.928.018;7.123.269;376.576;203.219;5.150.335;5.036.236;1.889.526;513.543;4.731.271;1.915.002;516.967;3.781.286;2.011.125;6.157.658;3.872.812;2.038.563;6.025.081;1.194.609;2.053.078;5321569;Rest;Rest;Rest
7.272.584;5.125.184;1.905.494;7.212.453;481.724;1.928.343;7.123.196;3.762.005;2.032.869;5.150.758;5.036.758;1.889.648;513.549;4.731.773;1.915.084;5.169.788;3.780.404;2.011.276;6.159.128;3.872.125;2.038.841;6.025.046;1.194.691;2.053.119;5321600;Rest;Rest;Rest
7.270.428;512.584;1.905.707;72.106;4.818.311;1.928.539;7.122.799;3.762.537;2.032.954;5.150.644;5.044.695;1.888.987;5.135.477;4.739.784;1.914.441;5.171.361;3.793.718;2.010.546;6.157.966;3.872.778;2.039.131;602.504;1.194.816;2.053.081;5321647;Rest;Rest;Rest
726.893;5.124.928;1.906.177;7.209.456;4.817.881;1.928.955;712.229;3.760.045;2.033.666;5.151.265;5.037.439;1.889.795;5.136.026;4.732.651;1.915.286;5.169.672;3.781.725;2.011.286;6.158.358;3.870.431;2.039.725;6.024.506;1.194.848;2.052.917;5321678;Rest;Rest;Rest
726.849;5.126.838;1.906.383;7.209.157;4.820.392;192.918;7.123.171;3.767.792;2.033.863;5.152.044;5.052.509;1.888.914;5.134.919;4.747.621;1.914.289;5.166.578;380.049;2.009.981;6.159.037;3.870.085;2.039.928;6.025.569;1.195.332;2.052.813;5321725;Rest;Rest;Rest
7.265.279;512.059;1.907.918;7.206.431;4.815.026;1.930.627;7.123.886;3.776.808;2.034.094;5.152.747;5.042.891;188.987;5.134.921;4.738.147;1.915.275;5.161.696;3.789.971;2.010.557;6.156.639;3.867.269;2.040.559;6.026.855;119.426;2.053.072;5321741;Rest;Rest;Rest
726.595;512.148;1.908.022;7.208.033;4.815.403;1.931.807;7.123.136;3.783.659;203.423;5.153.252;5.036.138;1.890.548;5.134.266;4.731.986;191.618;515.978;3.781.187;2.011.067;6.155.449;3.861.337;2.041.579;6.026.657;1.194.091;205.306;5321772;Rest;Rest;Rest
72.657;5.121.782;190.809;7.207.271;4.814.985;1.932.664;7.122.528;3.786.757;203.441;5.153.243;5.036.143;1.890.557;5.134.178;4.732.019;191.618;5.158.153;3.777.612;2.011.204;6.155.588;3.858.706;2.042.254;6.026.487;1.193.657;2.052.876;5321803;Rest;Rest;Rest
7.199.708;5.252.717;191.521;7.206.037;4.815.065;1.933.673;7.121.498;3.782.391;2.035.825;5.152.848;5.035.912;189.079;5.133.534;4.731.641;1.916.374;5.153.042;3.768.242;2.011.407;6.155.638;3.856.963;2.042.817;6.027.165;1.192.486;2.052.595;5321834;Rest;Rest;Rest
7.258.405;5.169.041;1.912.171;7.206.371;4.814.182;193.532;7.121.728;3.787.455;2.036.358;5.142.201;5.033.627;1.892.217;5.133.662;472.741;191.708;5.148.253;3.760.312;2.011.214;6.156.948;3.854.482;2.043.828;6.030.053;1.191.531;205.187;5321881;Rest;Rest;Rest
7.259.312;5.168.759;1.912.441;7.209.188;4.812.532;1.937.702;7.122.516;3.789.983;2.037.003;5.138.801;503.401;189.273;5.133.715;4.726.918;1.917.176;5.145.284;3.755.958;2.011.286;6.160.115;3.851.661;2.045.179;6.035.223;1.190.686;2.051.193;5321912;Rest;Rest;Rest
7.264.011;5.168.477;1.913.074;7.216.176;4.811.517;1.939.856;7.121.773;37.824;2.038.977;5.136.106;5.036.047;1.893.578;5.135.828;4.727.546;1.917.303;5.143.723;375.051;2.011.116;6.161.571;3.845.684;204.657;6.041.184;1.190.794;2.050.147;5321944;Rest;Rest;Rest
7.270.278;5.170.021;1.914.377;7.223.513;4.813.031;1.942.439;7.122.882;3.777.321;2.040.553;5.134.704;5.034.702;189.383;5.139.279;4.726.245;1.917.536;5.142.991;374.603;2.011.011;6.162.762;3.842.507;2.047.466;6.046.852;1.190.687;2.049.407;5321975;Rest;Rest;Rest
7.283.793;5.154.143;1.917.892;7.236.956;4.794.976;1.947.188;7.129.383;3.770.742;2.043.222;51.407;5.032.029;1.894.744;5.144.959;472.235;1.917.784;514.182;3.742.106;201.061;6.167.777;3.839.927;2.048.697;6.062.053;119.459;2.047.186;5322006;Rest;Rest;Rest
7.295.158;5.146.937;1.921.003;7.247.675;4.787.583;1.950.797;7.138.482;3.781.227;2.044.784;5.152.784;5.036.083;1.895.177;5.153.154;4.724.794;1.917.325;5.143.074;3.738.197;2.010.121;6.171.426;3.836.328;2.049.642;6.065.802;1.195.642;2.046.532;5322037;Rest;Rest;Rest
7.299.725;5.149.782;1.921.578;725.177;4.790.514;1.951.491;7.149.248;3.765.561;2.049.129;5.162.091;5.033.625;1.895.733;5.158.924;4.721.889;1.917.598;5.157.025;3.760.047;200.739;6.176.697;3.833.708;2.050.736;6.072.853;1.197.506;2.045.769;5322100;Rest;Rest;Rest
731.281;513.904;1.924.727;7.264.171;4.779.824;1.954.859;715.483;3.759.591;2.050.995;5.170.416;5.028.113;1.896.341;5.170.784;4.716.718;1.918.389;5.158.764;3.754.434;2.006.984;6.183.853;3.830.682;2.052.018;6.089.742;1.198.579;2.044.229;5322100;Rest;Rest;Rest
7.324.324;5.132.792;1.926.577;7.275.162;47.737;1.956.806;7.160.933;3.746.251;2.053.752;518.588;5.016.551;1.894.806;518.228;4.708.529;1.918.637;5.169.579;3.743.982;2.006.093;618.902;3.825.662;20.533;6.095.788;1.199.016;2.043.814;5322147;Rest;Rest;Rest
