svrhxyz,svrwxyz,phase rhlh
2.2262430561040168e-06,1.0100189971154045e-06,D
7.827786470935935e-07,2.6715190569745125e-07,D
9.765589419426256e-07,2.529274381527869e-07,D
3.9995862040549025e-07,1.3361177397775397e-07,D
4.3070234721754956e-07,2.3450368149637465e-07,D
6.073926094006793e-07,3.9899243329022423e-07,D
5.546750424765682e-07,3.0135946694781077e-07,D
1.107254870999381e-06,6.296451188522424e-07,D
5.771125787478996e-07,2.5939633540298127e-07,D
2.3549310196991985e-07,2.6415001641102305e-07,D
5.113979246082e-07,6.58649481399397e-07,D
1.5794969561277501e-07,2.6537016122607156e-07,D
1.648058098966098e-06,1.8249768058802177e-06,D
2.2544470936565395e-06,1.8783666794832395e-06,D
0.00039337660760570275,3.0494769689524226e-06,D
5.0743859151977174e-05,8.615297714688606e-07,D
5.0518095575562214e-05,6.599066871715723e-07,D
0.00013383865362999448,3.117556753744424e-06,D
7.4342867211760165e-06,7.686634808659348e-06,D
9.295685991352337e-06,1.1653426537926202e-05,D
1.2615125703792563e-05,1.4238771222171874e-05,D
8.227786237013552e-06,8.279042453585638e-06,D
5.7415797898239365e-06,4.691822345047794e-06,D
5.300222166026849e-06,4.12727488250877e-06,D
8.126538222489246e-06,7.324693735911076e-06,D
1.1592364497915328e-06,6.991215649463004e-07,D
1.2795385310041044e-05,1.623999534234387e-05,D
3.4089318091787216e-05,1.2421473569130887e-05,D
4.226825377329157e-05,3.2822054118001153e-06,D
0.0002954938458972498,2.074680702514733e-05,D
0.00020643000341946915,3.805812648843539e-06,D
0.0001549728472574982,1.717390868310704e-06,D
7.12711706914316e-05,1.1471507970680372e-05,D
0.00023702712072557082,6.735967715929194e-06,D
0.00029989145236533946,8.12611812850261e-06,D
0.00034015360323577594,2.222894969632051e-05,D
7.726652512851632e-05,1.3734330322987399e-05,D
4.2442828021220055e-05,1.6689138754780363e-05,D
6.3716888509784005e-06,3.0760509521691767e-06,D
2.750922474263741e-06,6.433232933234148e-07,D
1.0462058724413338e-05,3.433348615380499e-06,D
2.477765628410041e-05,3.1673697402794322e-06,D
7.516137919958777e-05,2.437399906671648e-06,D
4.0073156404550804e-05,4.940583416131305e-06,D
8.706016912640645e-07,1.6714929052033826e-06,D
5.035851924520431e-05,2.754115128757446e-06,D
0.00011699465035009806,5.4535589167878755e-06,D
2.7788706179235594e-05,1.7765366077433538e-05,D
7.857022763832727e-06,4.445003134295831e-06,D
3.0591519671370795e-05,5.741322148158579e-06,D
1.5515388098176287e-05,3.997881831209615e-06,D
0.00018640492238137398,2.0890785284956524e-06,D
0.00032950286934623076,8.540546927022163e-06,D
0.00035814841810084255,1.0433483236342382e-05,D
3.588171935129174e-05,1.0180414248182981e-05,D
2.607665057920205e-06,7.009109375629245e-07,D
2.5155664236880753e-06,9.322337181932384e-07,D
4.052007056182927e-06,1.8741382744397443e-06,D
3.4997993333559863e-06,2.1216916973441412e-06,D
3.0732105110623473e-06,2.3392254473649823e-06,D
9.98510686656096e-07,5.778856848944119e-07,D
6.167420291494121e-07,9.830890540853247e-07,D
1.3133186407524317e-06,2.203692085859201e-06,D
1.337917372045221e-06,4.6281144385599725e-07,D
4.669084055452388e-06,1.0665903376124634e-07,D
1.0867900276220395e-05,7.301946453641803e-07,D
3.57306405715891e-06,2.8299287025047103e-07,D
4.049882615881044e-06,1.5973683682750555e-06,D
5.115246891784041e-06,2.656550229799183e-06,P
3.970951083374527e-06,1.6956528836171825e-06,P
2.5222308396716354e-05,3.0927972341473505e-06,P
0.0005533169179685087,1.0686670750176798e-05,P
0.0006599968151915291,0.00012950572979285592,P
0.0010406547656503162,0.00018193781708518534,P
0.0006844113744587977,0.0006754632414796971,P
0.0024813668917469155,0.0006703371478368114,P
0.0026268546755463754,0.001937326841484859,P
0.002656372651354849,0.001659735260265655,P
0.001658496707011358,0.0012693693586210847,P
0.0016680911613113248,0.0012207306001264095,P
0.0014982241105640354,0.0006549304929085229,P
0.000570545358733501,0.0006554377412103763,P
0.0008935652243570866,0.0008653991751270243,P
0.000856884793659119,0.0008575597378510245,P
0.0008270245940569186,0.0008792264066515322,P
1.6585727210158278e-06,1.4517909056517699e-05,R
1.93470916398739e-05,3.4117440217174405e-05,R
9.503259426434723e-05,7.264820679391728e-05,R
0.0006849430572699652,8.57281037287434e-05,R
0.00044069813232946835,0.0010961077840909695,R
0.0003445515359688062,0.0010573248099460138,R
0.0005517436268406193,0.00077185748851119,D
9.158989169511108e-06,2.0648327700280933e-06,D
4.522680882965976e-06,1.5893243705486115e-06,D
8.350410075621646e-06,4.6855424795034296e-07,D
3.1980474341628523e-06,5.12266072414167e-07,D
5.081964441646725e-05,6.975391691683042e-05,D
9.964554082374774e-05,0.00012465343761427838,D
0.00011041922524281202,0.0001444753764424745,D
1.2435123363826982e-05,1.5301918866565896e-05,D
5.158564709978083e-06,5.851619137663729e-06,D
2.0294338949222142e-06,3.7419807415699747e-06,D
5.669451619228507e-05,6.41503606324961e-05,D
0.00031964397299966943,2.9636638066748098e-05,D
0.0002800401671360769,2.2181441008184706e-05,D
8.026759069314255e-05,7.707477697785897e-05,D
9.269342525252796e-06,9.409152785616641e-06,D
3.4377620747888026e-06,1.0342395027919992e-05,D
1.6215425441122395e-05,5.103227838310791e-05,D
1.3268439282733879e-05,4.396231110944532e-05,D
2.3073332671564677e-05,5.383337927431438e-05,D
3.0636180066471167e-06,2.0491334215484064e-06,D
1.3022805187898781e-05,9.155059179928624e-07,D
0.0008601408038647822,0.001874253863216415,D
0.0010053001708888215,0.0009971377506317405,D
0.00041278104835028355,0.0003938648426540986,D
0.0004057744275072447,0.0002554276330598692,D
0.00016346794995041343,0.0006097732343512746,D
0.000445765280122845,0.0010657892579627505,D
0.002262722469875718,0.0030522258309385554,D
0.0012136470620060097,0.0017888486556699409,D
0.000781305232297171,0.0017712734562879671,D
4.800126177452377e-05,8.151326180524468e-05,D
3.6869457915163635e-05,9.962771399474707e-05,D
7.571565002508751e-05,4.417245890875317e-05,D
1.576947303308515e-05,1.8938669674817275e-05,D
1.2640884409847541e-05,2.4756955044077996e-05,D
2.3978136291824973e-05,3.179490528818744e-05,D
9.619890536907472e-05,0.0004920408745988261,D
3.167898549116136e-05,0.0004229034992037985,D
1.9705781989241436e-05,0.0003674222700712526,D
0.00024555192554129665,0.00023835778665408518,D
6.704535369710115e-05,5.3156850950292805e-05,D
0.0001400129186730182,0.00017682717677271122,D
2.3992536633726473e-05,5.963973180304207e-06,D
2.4199548843692963e-05,2.0282590500324612e-05,D
1.1816147677796746e-05,2.8998486686375346e-05,D
9.00002642472558e-05,8.174850047027399e-05,D
6.403868153782853e-05,5.230860861604792e-05,D
3.7164398927878875e-05,3.096714909576404e-05,D
3.2916473146410975e-05,2.1564476045905366e-07,D
0.0008739875508023405,7.503878188802517e-07,D
2.6720996331411757e-05,6.126134892480059e-07,D
1.0859033840759241e-05,1.7520851489593276e-05,D
0.0007401693038636013,1.813165239451208e-05,D
4.6709590454518866e-05,9.93970963532355e-06,D
6.823626239345992e-05,2.4694808896660314e-05,D
7.509388605721224e-05,2.8044707285263873e-05,D
0.00024458440816706596,0.0002971250346975369,D
0.0009321072391158296,0.0012007925826650564,D
0.0008484336095784453,0.001127566600884729,D
2.769335403799878e-07,3.0941688372262885e-05,D
4.3008642604017794e-05,7.759733832403819e-05,D
0.0007540957016528483,0.0007342185504907533,D
0.00029066082514955576,0.000299861540809183,D
0.001041531987491233,0.0010055442510537467,D
5.887069072119882e-05,3.195686398669417e-05,D
0.0008887680270163968,0.0009411923724763497,D
0.0007558652940985464,0.0008078112237648093,D
0.0019818280303477436,0.00197990903422995,D
1.6768929316869578e-05,2.437578374211564e-05,D
2.957584815791164e-05,2.3956704433490678e-05,D
5.994469066382737e-05,5.1567225689658954e-05,D
0.00010608224672765687,0.00011055532066903653,D
0.00013576076006821585,0.0001496659647770292,D
3.539529516140309e-05,3.373965449698307e-05,D
6.575191562644423e-05,4.1660289189073436e-05,D
0.00013811093889774738,0.000156039665921965,D
0.005116928060698253,0.003465641108891789,D
0.0032072378158079845,0.0023889385679854466,D
0.0011915436243553417,0.0003187677215420364,D
0.0022717260413102408,0.0014880842437648963,D
0.0008493586963048413,0.0006234041423981026,D
0.00020265482507473553,0.0002483741911101568,D
0.0014025339056189467,0.001287663172984065,D
0.0004096966194492834,7.478527666710052e-05,D
0.0007837494496148293,0.0005494836901681827,D
0.0004699585592839472,7.873778355222822e-05,D
0.00043632201812583216,0.0005553942333927677,D
0.0019130159618728942,5.1119294705660825e-05,D
6.548529066036355e-05,2.5982980255545477e-05,D
3.0021661219073418e-05,1.5847850051221916e-05,D
7.976988524078312e-05,2.6345256453969867e-06,D
8.009545908132627e-05,2.076971826776988e-05,D
2.002627538438965e-06,1.529972517640311e-05,D
8.969780350606097e-05,5.6114944075165074e-05,D
0.00021213904063793607,6.624943721147608e-05,D
7.921031370249928e-06,3.95290205085825e-05,D
1.0643618122859225e-05,2.9275024484046528e-05,D
2.2965746610922413e-05,4.760691136942266e-05,D
1.9073622868852814e-05,3.5093628104040544e-05,D
2.7176308104892255e-05,2.0115058283746305e-05,D
1.767320571339362e-05,7.440889278250991e-06,D
2.3712149122869373e-05,1.4370795416490745e-05,D
3.7819086570020614e-05,2.2642303502972904e-05,D
3.945420993818579e-05,2.2272564059799285e-05,D
3.412962162915924e-05,8.27814239372657e-05,D
1.157352305739462e-05,8.509606291957846e-05,D
1.8022656099886447e-05,6.562742046568569e-05,D
2.905783486517537e-05,4.412673813711114e-06,D
6.076996274187044e-05,2.413065378206142e-05,D
9.825537074527369e-05,4.6734876128263746e-05,D
0.0004310565772403925,0.00033277569684710893,D
0.0007937659688911373,0.0002726683884968894,D
0.0019181925885724223,0.0006350480335342269,D
0.002454179958993851,0.0007288573230542106,D
0.0006312818596268773,0.0007284939440546192,D
0.00011292881400011632,4.814840476717678e-05,D
0.00023359135504152364,8.232410756360713e-05,D
0.00014090842992223415,0.00011141047613805606,D
0.00035078431093152004,0.0004785443997800099,D
0.0007054431378246417,0.0006269954215870067,D
0.0004294242500597057,0.0004728289181200731,D
0.00011873693635097952,0.00013195906177919308,D
0.00031184185297602915,2.0804396233662633e-05,D
1.3168642847580387e-06,2.1951628812843838e-06,D
7.218329484221318e-06,2.8398234028802327e-06,D
0.0001503866435023187,1.930707810764018e-05,D
9.706225009765522e-05,6.435778594239955e-05,D
1.831478935255707e-05,1.2005600037315703e-05,D
8.362814804290742e-06,6.614378697513736e-06,D
6.311000283301933e-07,9.722319927986003e-08,D
1.0489522849264647e-05,9.283207748218575e-06,D
1.5454284188756056e-05,2.230244784468455e-05,D
5.09778926584627e-06,2.3742730588382723e-06,D
2.3162011922219674e-05,1.5758315308124753e-06,D
0.00012408269197809803,0.0001173336146442081,D
0.00010819211918620454,0.00011160407561941225,D
3.852217492418998e-05,4.707948381325195e-05,D
1.8887983040651072e-05,1.5678616777582703e-05,D
1.5857969860295066e-05,1.4030815324121112e-05,D
1.360015033944941e-05,1.2667076262125536e-06,D
9.05311540589751e-06,2.5428963187795103e-06,D
7.319585714713187e-05,6.433336506631044e-05,D
6.865856460178578e-05,9.117202210917674e-05,D
0.00016583675396627222,0.0002649085844923888,D
0.0003075516314694131,0.0003239515066761637,D
0.0004725458242134194,0.0004660158404768162,D
1.7908148307029525e-05,1.721460612299996e-05,D
1.3736104978367701e-05,1.0977737293397181e-05,D
0.0012457512528035977,0.0012900368166365805,D
1.414347594302732e-06,2.658870741486596e-06,D
0.00047637256323854405,0.0004938068502396082,D
6.621921141241805e-05,6.15915816529804e-05,D
0.00014144034896264684,0.0001487393594322251,D
0.00025673400566342334,0.00023165542837444748,D
2.1160823255742254e-05,2.2365582949832104e-05,D
0.00024144665322687386,0.00021836982432790067,D
6.844616516883903e-05,5.601477011195771e-05,D
6.067035825234942e-05,4.86736289456315e-05,D
5.973843271920226e-05,4.761110894986882e-05,D
0.0002372728072123329,0.0002582825594214842,D
0.0020545351047719872,0.00017125490557870802,D
0.0012138614249823884,4.923970621139894e-05,D
0.0007269890287521484,0.00040086109328843256,D
2.3338227150711156e-05,8.367469179994221e-06,D
0.0006699608790256314,0.00032937505968348333,D
0.0007164323412754411,0.00027631088567052785,D
0.0005458828262023325,0.00023010457789955646,D
0.0005847215193028832,0.0001948597767677752,D
0.0009348667666623299,0.0003417634801814727,D
6.540449090366526e-05,4.3933686414483956e-05,D
0.0015436093235957405,0.0010154230508473297,D
0.002809255132284426,0.0014052696646682436,D
0.0015046900106268646,0.0009014369684050031,D
0.003130260793510975,0.0005233778897351212,D
0.013960607744837183,0.005883247908678068,D
0.009741294449456945,0.004734447328450602,D
0.0022828083910395635,0.0032483396605227388,D
9.26483894369081e-05,5.6991031054353e-05,D
0.00022381244178212685,0.00020593815033919668,D
0.00019373932362499107,0.00019489147040818296,D
4.6816773075342966e-05,5.746228693282662e-05,D
6.196476942720932e-05,6.55317873558884e-05,D
8.757329904924949e-05,8.621288848451814e-05,D
0.00017462423526888794,0.00017858509484592813,D
0.00040824338717018803,0.00041504926696065764,D
2.868873689211275e-06,2.657088811861163e-06,D
0.00045387574344430147,0.00046652658372652934,D
0.0002348173397777748,0.0002228341932232988,D
0.0009334817444291996,0.0009301314146098833,D
0.0009254259763209385,0.0009490070642740689,D
5.1991395897146725e-06,4.0348990879352445e-06,D
0.0011040096846359722,0.000896213087809968,D
0.0021036737161189657,0.0034241124358365843,D
0.001971296379646516,0.001072346357417105,D
6.37695561020181e-05,6.506317472649388e-05,D
0.00012029898574943174,7.099968437820445e-05,D
0.00016533604482452777,0.00024307542154151178,D
0.00013376899998979552,7.113970494094614e-05,D
0.0007922512932083623,0.0005015387478427506,D
5.785997452797521e-05,2.756567731219226e-05,D
2.709314850926158e-05,2.6507869855270342e-05,D
2.2931912035551348e-05,1.8107817348008134e-05,D
1.2077477008662995e-05,2.4999500555459377e-06,D
1.632255435366297e-05,2.084097649177659e-06,D
1.4710002477229535e-05,6.506193132102766e-06,D
0.00013379213796493495,2.6499524155208682e-05,D
0.00019169159287836423,4.4671587413537205e-05,D
0.00023104332434309693,4.057401641220469e-05,P
2.5125605273394005e-05,1.983951919524066e-05,P
0.00014665059664552423,0.0010972506969182975,P
0.0013383943609309743,0.0008099802457649521,P
0.0014595757785070924,0.0010396740371200889,P
0.000982168611044307,4.409532314517742e-05,P
0.003991797920777738,0.0015061100447006375,P
0.0050220475227998424,0.002284992551340043,P
0.006056064742079983,0.00223621999684695,P
0.00012111715714155325,6.79998300422482e-05,P
0.00060371850269655,0.0003164794418301828,P
0.0006682818848324033,0.000226835462260985,P
0.0010284166338773856,0.00012232743561052032,P
0.0046525848734394895,0.00013338486712456593,P
0.001005707290262644,0.00015162939163720297,P
0.0009660190327392239,0.000249468719108942,P
0.0002566961428485544,0.0002542407482323153,P
0.00027230107128652,0.00020870356682827895,P
0.0001517536707511332,0.0001244940985008884,P
1.6762008577547174e-05,8.6054173610352e-06,R
0.0004235798358149172,9.001623511114742e-06,R
0.0002508400153680738,3.179342971492901e-05,R
8.351760523673506e-06,2.263823924384472e-05,R
4.297934361254677e-05,0.00028163699144971767,R
9.407749125280265e-05,0.00017945144971516578,D
6.413803573012027e-05,0.00022667061885164175,D
0.00025159860877171616,0.00034281889071890315,D
0.0002503979117226413,0.0002496353312953064,D
0.0004518566581015804,8.099508268659034e-05,D
0.0009366874912805845,6.139409105789217e-05,D
0.0008340481576017409,3.7638088421768626e-05,D
0.0013013061572319101,6.403601440388833e-05,D
5.1747326315583615e-05,9.903980063442062e-06,P
0.00017713059140370748,1.127220703279609e-05,P
0.0018237591440973253,0.00020840366510147158,P
0.0032777160491006224,0.0022731131275659368,P
0.005124750388334893,0.00226143286908016,P
0.00452837786396295,0.0031877882567930733,P
0.013868311738311987,0.00561086851819002,P
0.01976509184304921,0.011499183599094468,P
0.021731997069646937,0.011686095662842311,P
0.007041873292488998,0.0037984586234823675,S
0.0009400296063123432,0.0006997981587112077,S
5.183598316745848e-05,0.00013144341490163914,S
6.278106361642237e-06,1.4557568686322554e-05,S
1.6336461428101438e-05,0.00033821668362402194,S
7.002446675044223e-05,0.00026150617269576806,S
0.0001324460155947578,0.00021261992701543495,S
0.00020910115736817966,0.0005031590214531551,S
0.0013013301124297012,0.0013056356521419605,S
0.0017550951679038728,0.0014755870234719158,S
0.0024369286537889974,0.001129734557659928,S
0.0006543082218988837,0.000308596399568686,S
0.0006644745284877083,0.00040801414600703464,S
0.0007216769823195684,0.00042487775711068257,S
0.0005369506873335691,0.00041192665079465505,S
0.00020390629788064575,0.0002443977832481739,S
0.0002814838275024057,1.5972282665366573e-05,S
0.001085922436117839,0.0006004688928256291,S
0.0011343035319724695,0.0007362533236099401,S
0.0004155865179830528,0.00029415603131865324,S
0.0002466565441625185,0.00027185758651495365,S
0.0008956251557835639,0.00072977216723349,S
0.0018620879030449805,0.0012814361010601554,S
0.008408000092668002,0.003982616232531426,S
0.00573009643546901,0.007853184005624753,S
0.0015499178817626332,0.005908042911104716,S
0.004524857081808232,0.0006099108523445457,S
0.007490178923113718,0.009798660026517731,S
0.010411824008673723,0.015442118796195612,S
0.006018469259778871,0.005029880588827581,S
0.005792435069686148,0.00474211268560271,S
0.00688921584828202,0.002441582627645211,S
0.005700200250042082,0.003675850776921567,S
0.005195790455544534,0.0013439867610766266,S
0.001135385514779491,0.001340423149382821,S
0.0003936813824878027,0.000220859177120021,S
1.397095753628757e-05,3.2348584986111414e-05,S
0.0009740426715462796,0.00035415214650292654,S
0.0057739643670233825,0.0016824691266340913,S
0.008055570953481122,0.004037671177840797,S
0.007316225431723675,0.003639674941770693,S
0.005509458082653371,0.0041970532680597914,S
0.005091108982672063,0.003840313045219637,S
0.0037622785088069753,0.004698235410148878,S
0.012588688925226002,0.015249684154806965,S
0.002480282559353411,0.004487228495581617,S
0.006252734674639234,0.005293022038488304,S
0.004419717806339151,9.841081783622602e-05,S
0.0005750401666698337,0.0019102750038749138,S
0.0059825201074239845,0.007822222465687145,S
0.023939117046641367,0.013433653326737174,S
0.0041915626549791935,0.0038615732653139575,S
0.004802583083494631,0.004210279047410498,S
0.0027527954911026656,0.0018375724123917685,S
0.0010121072261813767,0.000764931509703551,S
2.0425732282754344e-05,2.421258197244859e-05,S
0.0007056788787419656,0.0012958269713089228,S
0.005070001735369657,0.004445647679562042,S
0.00828005913946207,0.006214320873950961,S
0.01203846263705578,0.003535279633034045,S
0.0038717546838306577,0.0006528667235105439,S
0.0002455175537977359,4.078018645763575e-05,S
0.003688414546429809,5.493073232549916e-05,S
0.0012427023110618263,2.245050376733134e-05,S
0.0003636282867001645,7.812946672345269e-05,S
0.0003196154355459752,3.9016582032489927e-05,S
0.0001945201114024887,0.0004626940209008227,S
0.00015546605991716194,0.0004355286601562478,S
0.00011791677048322465,0.0004811171494247322,S
2.5722902833210094e-05,9.814729209817983e-05,S
1.4386441524203794e-05,0.00022010953303240694,S
0.0001890298259331658,9.685744863563962e-05,S
3.0370573197863257e-05,9.386337524909005e-05,S
0.000509524993872014,0.001030897147582216,S
0.0031593770352038486,0.002262214111589974,S
0.003783062015500441,0.0028990712910062517,S
0.004198403344381585,0.0018531179205318914,S
0.0023908067359632986,0.0014294264214709399,S
0.0018693501264397696,0.000778121226266814,S
0.003054957504865468,0.0007449284590755539,S
0.0021872722665811904,0.00031896494523545277,S
0.0012446194246905913,0.0002219306183578881,S
8.108701518088184e-06,0.0001326986555102486,S
1.7301140508717147e-06,3.511107952137998e-05,S
0.00010794899391019865,3.232815121234594e-05,S
0.0003072510471904294,3.8490035093782866e-05,S
0.00039603285972079054,3.013133416695708e-05,S
0.00011130831785568661,4.6079727243805965e-05,S
2.751955817764258e-05,3.633058085822446e-05,S
0.00024009931846148442,0.0009498466277431759,S
0.0010942986360478859,0.0005282625881039318,S
0.0009349449961541961,0.00039618204265506066,S
0.0005069189575176476,0.00013148114787686345,S
1.4023580919871715e-05,9.531829846297323e-06,S
6.9817434109244544e-06,9.543241088310058e-05,S
0.0015059992480280586,8.922899922267499e-05,S
0.0005139095680964911,0.0019372555985170741,S
0.0049090349367911295,0.0013985767335378077,S
0.0031866698995313375,0.0038998769106957007,S
0.007937341043892014,0.0033432331064388557,S
0.0039136832599738465,0.00426256903310073,S
0.0027759580545923808,0.006063044873845423,S
0.0013544869698861892,0.0009582602167073908,S
0.0003404430248436363,0.00024297841040534673,S
0.0020088424246814947,0.0038674138667392313,S
0.0051492239203789585,0.0036646897119083184,S
0.006411816380207587,0.004213290228613569,S
0.0033373565097084717,0.0020958620423054916,S
0.000702202381890791,0.00035240545785343266,S
6.318503461309517e-05,6.907040212419778e-05,S
0.0007963694524810177,0.00033879736507238677,S
0.0027181668383216683,0.0015073822987859565,S
0.003280887729965415,0.002104035379005658,S
0.0023909180279028685,0.0027687931873894346,S
0.0008981460389123869,0.0013264504301933597,S
0.00011855284618560405,0.0002759329287146285,S
0.0010789681159530564,0.001519729546765127,S
0.0050981467720243555,0.0039348129108315415,S
0.007238382860488148,0.004402752983192077,S
0.0030076485936908317,0.002340140515466717,S
0.00048012020220717993,0.0007253613558232025,S
0.00013417739237167435,0.0007127975884410194,S
0.0025357374087211994,0.0020893837960930498,S
0.006059588104646331,0.005395134100418796,S
0.007920876335409943,0.006264024586451502,S
0.008097018833323722,0.009167494240824164,S
0.00754795978051576,0.0051247195958452705,S
0.002771410264684832,0.001726665145620547,S
4.612559054451542e-06,6.889350392738084e-05,S
0.0015266111706326527,0.0002455734816349779,S
0.003349495237194281,0.00339874769106766,S
0.002538993763563997,0.002119078667281442,S
0.0010284604585935624,0.0017802943319264863,S
0.000210340998978179,0.0011597014432806498,S
0.0002980310076097037,0.0005557572822084091,S
0.00046468381505636205,0.0006180483739922794,S
0.0033873856728844787,0.003191282163355835,S
0.004642182277274778,0.0036679295514695687,S
0.0040900665281336035,0.00275489754949081,S
0.000817322966085863,0.00018066287843458508,S
0.0006132910416075576,0.0005689431081092717,S
0.0004660664851562671,0.0005074882761060248,S
0.00013267326594572048,0.00028257187462416114,S
0.00020730463311539112,9.300577815873429e-05,S
0.001361161295702671,0.0009450844586125564,S
0.0025401754982079475,0.002551441244843125,S
0.003417388864647587,0.0035536501487901107,S
0.0018463899171416104,0.002653919692381505,S
0.00046189110042292564,0.00032382815477005025,S
0.0002010822000441987,0.0003485832624941586,S
0.00045299646539585304,0.0012924524270077479,S
0.00030977322678305366,0.0003338568204720112,S
0.030421580790181372,0.016853748625390234,S
0.031097127446657966,0.019269040406206934,S
0.0007582160105684306,0.020507953255979525,S
0.0239707102786254,0.0001883029324853972,S
0.023503523930850336,0.012853465980694425,S
4.321672390416356e-06,0.0005687859162003544,S
6.88921317147544e-05,0.0006063105556430833,S
0.0001244136188257137,4.4544193199639974e-05,S
0.00023798090970146823,0.00623423101653227,S
6.306586242900544e-05,0.004964517189905389,S
7.440952718371088e-05,0.0010882096953336196,R
7.952546440743843e-05,0.00024358134227587676,R
0.0010187857173881462,0.00010655613425326556,R
0.002735556000210735,0.003067392836213853,R
0.0038356125493233958,0.0004585311283679695,R
0.015602640733555382,0.009065590851133388,R
0.010977009857262202,0.0038989919449529133,R
0.013245942583288182,0.010417704247412988,R
0.0009773050480675269,0.0031997774101336944,R
0.0023524089130546487,0.005249411681272668,R
0.002062777393387849,0.002552832314843649,R
0.001977075572165036,0.003799980640992859,R
0.0006146172369979762,0.001029485080962255,D
0.0003171413930255312,0.0009266723241634741,D
5.3795299765156534e-05,2.9831976093434147e-05,D
0.00017667635427434672,0.00038496219875365696,D
6.189314477421248e-06,0.0001362586991217648,D
0.0007863711994324106,0.0012184735784349391,D
0.0009414803009023263,0.00043353502519591846,D
0.0017858144000683772,0.0009645098124255837,D
0.004078669671886936,3.585171895827817e-06,D
1.0169446452883188e-05,1.7060685720030002e-06,D
7.282881909672613e-06,8.39074413282295e-07,D
0.00021517029954633111,2.2095708220302694e-06,D
0.0003374441079055726,1.2588797961496406e-06,D
0.0004384425298516822,4.124736406712136e-07,D
6.783540728927384e-05,8.124504258616014e-07,D
2.8367520586835583e-05,5.6931617190033455e-06,D
5.832274056223768e-06,3.7979802771278425e-06,D
7.3446216679656e-06,5.286890333520084e-06,D
7.20261792897171e-06,3.3200205018792656e-06,D
6.976359328726847e-06,1.2661205261966175e-07,D
6.91231837981305e-06,7.125783111211709e-06,D
1.7939071391381175e-05,1.1547501457550325e-05,D
1.5428627400785457e-05,1.187132935887265e-05,D
8.512004293455142e-07,5.182210697244781e-07,D
3.240891982597204e-06,1.1949817919747409e-06,D
5.306364856512803e-05,6.821676252920035e-06,D
1.631633839175733e-05,9.486572584907434e-06,D
