rhx,rhy,rhz,rwx,rwy,rwz,rex,rey,rez,lhx,lhy,lhz,lwx,lwy,lwz,lex,ley,lez,sx,sy,sz,hx,hy,hz,timestamp,phase rh,phase lh,phase rhlh
5.642723,4.945873,1.93241,5.629593,4.673285,1.961882,5.599006,3.834128,2.091419,3.625211,5.124183,1.910841,3.696962,4.828587,1.922951,3.632726,3.994976,2.028273,4.651477,4.070658,2.073565,4.705837,1.265031,2.091506,5906091,Rest,Rest,Rest
5.634186,4.955927,1.935553,5.626572,4.675889,1.962175,5.585402,3.86961,2.088075,3.634656,5.128578,1.909033,3.693285,4.831758,1.922682,3.631214,3.998553,2.028246,4.650887,4.071497,2.073709,4.705806,1.265028,2.091513,5906122,Rest,Rest,Rest
5.634867,4.955069,1.935973,5.625361,4.67517,1.962634,5.582675,3.874589,2.087686,3.636204,5.125858,1.90946,3.691876,4.828769,1.923378,3.627227,3.996524,2.029256,4.650111,4.071306,2.074193,4.703969,1.266104,2.091171,5906169,Rest,Rest,Rest
5.635126,4.953746,1.935866,5.625114,4.675237,1.9631,5.580564,3.859043,2.089234,3.638634,5.12517,1.910994,3.691171,4.826317,1.923858,3.626163,3.99499,2.030089,4.649854,4.072145,2.074543,4.702501,1.267305,2.090935,5906200,Rest,Rest,Rest
5.638579,4.948459,1.936528,5.626463,4.670884,1.964112,5.583409,3.854017,2.090157,3.639454,5.125662,1.910847,3.691144,4.82679,1.923839,3.626521,3.996496,2.030483,4.648623,4.072317,2.074767,4.691174,1.26833,2.091051,5906231,Rest,Rest,Rest
5.641351,4.947536,1.937122,5.628876,4.670359,1.964863,5.584003,3.879648,2.087707,3.641041,5.126239,1.911988,3.692116,4.826294,1.924066,3.627743,3.997876,2.031425,4.647914,4.072793,2.075058,4.689195,1.270118,2.091154,5906263,Rest,Rest,Rest
5.641822,4.949294,1.937632,5.629287,4.671408,1.965096,5.597897,3.854457,2.090462,3.642843,5.1216,1.911187,3.694141,4.822874,1.924401,3.630199,3.995599,2.032222,4.649468,4.066706,2.075914,4.683474,1.270583,2.091383,5906294,Rest,Rest,Rest
5.641869,4.949429,1.938037,5.630196,4.671345,1.965443,5.607097,3.850791,2.09236,3.647007,5.121349,1.911102,3.69673,4.822849,1.924771,3.630571,3.995535,2.032562,4.64741,4.065331,2.076128,4.666834,1.272846,2.090367,5906325,Rest,Rest,Rest
5.642047,4.94977,1.938279,5.63158,4.672001,1.96584,5.607774,3.854958,2.091575,3.646453,5.086453,1.914606,3.696434,4.788555,1.928768,3.602662,3.848565,2.054528,4.645111,4.064671,2.076256,4.662073,1.272265,2.090659,5906372,Rest,Rest,Rest
5.641321,4.950543,1.938506,5.631727,4.672355,1.965917,5.609033,3.856548,2.091652,3.650715,5.087443,1.915902,3.696401,4.787854,1.929206,3.600911,3.84672,2.055179,4.644286,4.063072,2.076546,4.653882,1.271107,2.090631,5906388,Rest,Rest,Rest
5.645273,4.947912,1.93905,5.631018,4.670774,1.966811,5.609857,3.854005,2.091985,3.652962,5.088236,1.916249,3.696739,4.788342,1.929549,3.608915,3.912725,2.047768,4.644081,4.061276,2.076926,4.649165,1.268672,2.090931,5906435,Rest,Rest,Rest
5.647557,4.95012,1.939495,5.63051,4.672628,1.967059,5.607475,3.865077,2.091333,3.655203,5.082304,1.916216,3.695977,4.782967,1.930388,3.594058,3.865043,2.055439,4.644401,4.056582,2.077325,4.647951,1.26934,2.090966,5906466,Rest,Rest,Rest
5.648305,4.95173,1.939818,5.631304,4.673751,1.967194,5.604654,3.860693,2.092404,3.656182,5.081614,1.91656,3.694591,4.781871,1.930669,3.597866,3.906292,2.050245,4.644805,4.05463,2.077693,4.645338,1.270949,2.090958,5906497,Rest,Rest,Rest
5.653505,4.952888,1.940793,5.63159,4.673336,1.967386,5.602246,3.859309,2.092544,3.654048,5.087205,1.916551,3.697274,4.788052,1.93062,3.599854,3.926006,2.048141,4.643158,4.054181,2.07793,4.645191,1.271895,2.091142,5906528,Rest,Rest,Rest
5.655027,4.953616,1.941171,5.631588,4.673522,1.967491,5.601826,3.858972,2.0926,3.654852,5.086317,1.916618,3.69704,4.78713,1.930801,3.600019,3.928911,2.047884,4.642003,4.053445,2.07816,4.644581,1.273012,2.091184,5906560,Rest,Rest,Rest
5.655898,4.957594,1.940547,5.631345,4.679549,1.967692,5.59913,3.85373,2.094096,3.658713,5.084593,1.917174,3.696612,4.78481,1.931353,3.600667,3.928268,2.048067,4.641442,4.053267,2.078306,4.644069,1.273378,2.09129,5906591,Rest,Rest,Rest
5.656834,4.958229,1.940804,5.631047,4.679787,1.967748,5.599737,3.852951,2.094291,3.658724,5.085306,1.917537,3.697142,4.785177,1.931381,3.602925,3.931194,2.047756,4.641152,4.053812,2.078486,4.645,1.279395,2.09124,5906638,Rest,Rest,Rest
5.661659,4.966067,1.94182,5.632384,4.684639,1.967352,5.59679,3.900001,2.089631,3.659398,5.086614,1.918129,3.697604,4.785777,1.931386,3.604255,3.932283,2.047782,4.64071,4.053259,2.078753,4.644142,1.281424,2.091183,5906669,Rest,Rest,Rest
5.661411,4.966194,1.941918,5.631647,4.685294,1.967668,5.597921,3.899211,2.089585,3.659188,5.086865,1.918226,3.697915,4.786132,1.931533,3.604315,3.932066,2.047846,4.639561,4.055165,2.078912,4.648091,1.284691,2.091828,5906700,Rest,Rest,Rest
5.661963,4.969901,1.941563,5.632345,4.688957,1.96731,5.597808,3.901888,2.088965,3.660784,5.088394,1.91872,3.698036,4.787414,1.93199,3.604603,3.932379,2.047831,4.639703,4.05467,2.07926,4.648445,1.286626,2.092129,5906731,Rest,Rest,Rest
5.662313,4.971704,1.941349,5.63218,4.690771,1.967085,5.599289,3.903915,2.088863,3.658799,5.087457,1.919532,3.697675,4.786583,1.932729,3.608822,3.949358,2.046629,4.639006,4.055498,2.079454,4.649951,1.289208,2.092516,5906763,Rest,Rest,Rest
5.664577,4.962989,1.941941,5.631638,4.683357,1.968112,5.604321,3.888646,2.090777,3.659235,5.085428,1.919775,3.696038,4.784913,1.933542,3.608954,3.948409,2.046826,4.639555,4.056333,2.079677,4.650151,1.289459,2.09255,5906794,Rest,Rest,Rest
5.665358,4.963719,1.941834,5.631249,4.684593,1.968169,5.607086,3.87579,2.092357,3.658723,5.080942,1.919836,3.693858,4.781775,1.934905,3.610115,3.94885,2.04704,4.639418,4.054562,2.080478,4.65155,1.290329,2.092838,5906825,Rest,Rest,Rest
5.665947,4.96063,1.941547,5.630691,4.68274,1.968349,5.605503,3.882049,2.09166,3.658237,5.082497,1.92019,3.693919,4.783072,1.935017,3.611122,3.950788,2.04715,4.638647,4.056006,2.080653,4.651769,1.292112,2.09287,5906872,Rest,Rest,Rest
5.665707,4.960427,1.941412,5.630172,4.682903,1.968361,5.60508,3.874407,2.09236,3.658323,5.082876,1.920664,3.693354,4.783043,1.935238,3.609961,3.94777,2.047774,4.638318,4.056179,2.080734,4.651627,1.292621,2.092994,5906903,Rest,Rest,Rest
5.662542,4.959612,1.941033,5.629822,4.682493,1.968298,5.602582,3.882969,2.091404,3.656735,5.081959,1.920103,3.693303,4.783057,1.935295,3.61067,3.947366,2.047911,4.638566,4.053064,2.081192,4.651759,1.291906,2.093656,5906935,Rest,Rest,Rest
5.66234,4.957373,1.94125,5.628948,4.680529,1.968604,5.605404,3.869567,2.094258,3.656684,5.08226,1.920246,3.693007,4.783304,1.935436,3.611385,3.947356,2.048321,4.638916,4.051822,2.081448,4.651396,1.29223,2.093621,5906966,Rest,Rest,Rest
5.664108,4.960005,1.940806,5.627573,4.684425,1.968516,5.605768,3.866273,2.094793,3.655466,5.082743,1.920377,3.693049,4.783784,1.935459,3.611167,3.94621,2.048928,4.637674,4.053003,2.081521,4.650937,1.293234,2.093741,5906997,Rest,Rest,Rest
5.664563,4.959599,1.941002,5.628158,4.684185,1.968795,5.605591,3.863864,2.095219,3.656397,5.086463,1.919851,3.692197,4.788461,1.935852,3.610265,3.945988,2.04921,4.637412,4.052742,2.081704,4.649804,1.293396,2.093798,5907028,Rest,Rest,Rest
5.665702,4.963912,1.941254,5.630603,4.687554,1.968746,5.605646,3.869194,2.094028,3.656305,5.087466,1.920248,3.692169,4.788939,1.935865,3.609983,3.945792,2.04925,4.635596,4.056192,2.081779,4.649394,1.293204,2.093902,5907060,Rest,Rest,Rest
5.668364,4.964802,1.941565,5.631023,4.687976,1.968759,5.605592,3.880023,2.092339,3.655573,5.080965,1.919019,3.690661,4.784733,1.936374,3.610464,3.946698,2.04919,4.633143,4.057416,2.081855,4.646952,1.293218,2.093912,5907091,Rest,Rest,Rest
5.669587,4.965521,1.942834,5.632849,4.686321,1.969083,5.606929,3.874131,2.092961,3.655194,5.08197,1.919068,3.691027,4.78558,1.936268,3.611001,3.947676,2.049054,4.632567,4.05753,2.081938,4.646018,1.293752,2.094044,5907122,Rest,Rest,Rest
5.668761,4.96735,1.942752,5.63263,4.688347,1.969127,5.60757,3.865853,2.094008,3.654788,5.081826,1.91908,3.691214,4.785567,1.936335,3.610175,3.950745,2.048657,4.632034,4.057723,2.081986,4.644847,1.294429,2.094155,5907153,Rest,Rest,Rest
5.668184,4.966835,1.942796,5.631846,4.688392,1.969405,5.610779,3.861692,2.095431,3.654263,5.082167,1.919259,3.691224,4.785651,1.936305,3.608892,3.950549,2.048667,4.631681,4.05999,2.082081,4.644439,1.294653,2.09415,5907200,Rest,Rest,Rest
5.66856,4.966757,1.943134,5.631616,4.688352,1.969735,5.610261,3.876638,2.093466,3.652916,5.08487,1.919783,3.69213,4.787231,1.93583,3.60904,3.954349,2.04811,4.630257,4.061893,2.08214,4.643106,1.29481,2.094232,5907231,Rest,Rest,Rest
5.669881,4.967558,1.944116,5.632305,4.687224,1.969866,5.611684,3.868248,2.094172,3.652439,5.085829,1.919867,3.691745,4.788101,1.935853,3.608105,3.955122,2.047896,4.62977,4.062279,2.08218,4.642284,1.295919,2.094284,5907263,Rest,Rest,Rest
5.670537,4.96673,1.944217,5.633215,4.686427,1.970004,5.609892,3.864582,2.094862,3.653194,5.089778,1.919503,3.692047,4.792098,1.935583,3.611122,3.969985,2.045656,4.630291,4.06387,2.082406,4.641866,1.295805,2.094446,5907294,Rest,Rest,Rest
5.671393,4.96837,1.94409,5.633935,4.68885,1.970216,5.605299,3.875959,2.093551,3.653725,5.08849,1.919612,3.69178,4.790518,1.935565,3.610564,3.968658,2.045748,4.630133,4.064311,2.08248,4.640793,1.296184,2.094687,5907325,Rest,Rest,Rest
5.671033,4.968101,1.9441,5.634454,4.688545,1.970269,5.604363,3.884656,2.092341,3.654232,5.089683,1.919808,3.691916,4.790889,1.935185,3.611261,3.969582,2.04561,4.62979,4.065373,2.082528,4.638932,1.296475,2.094787,5907356,Rest,Rest,Rest
5.672882,4.968329,1.944277,5.634746,4.68855,1.970268,5.602098,3.874995,2.093909,3.654466,5.090404,1.920332,3.692064,4.790898,1.935169,3.610848,3.969455,2.045564,4.631035,4.065016,2.082754,4.638943,1.296419,2.094803,5907403,Rest,Rest,Rest
5.671655,4.968231,1.944196,5.634245,4.688438,1.970233,5.604051,3.866144,2.09527,3.654949,5.092816,1.920087,3.691937,4.793117,1.934842,3.611436,3.971376,2.045194,4.630313,4.065812,2.082757,4.638351,1.2962,2.095016,5907435,Rest,Rest,Rest
5.672302,4.968797,1.944165,5.634019,4.689108,1.970203,5.605325,3.863055,2.095306,3.654044,5.093531,1.920159,3.692119,4.793857,1.934839,3.612062,3.97188,2.04516,4.62975,4.065271,2.082826,4.636877,1.296632,2.0952,5907466,Rest,Rest,Rest
5.671363,4.964749,1.944772,5.634245,4.683587,1.970246,5.60665,3.860918,2.09534,3.654536,5.09366,1.920207,3.691604,4.793508,1.934611,3.612193,3.972157,2.0452,4.629365,4.065618,2.08281,4.635922,1.2961,2.095351,5907497,Rest,Rest,Rest
5.668776,4.965613,1.944587,5.634525,4.684308,1.970168,5.607383,3.857577,2.095446,3.654681,5.089378,1.921129,3.690731,4.788647,1.935166,3.612961,3.966723,2.046258,4.630374,4.065471,2.082859,4.634186,1.296163,2.095558,5907528,Rest,Rest,Rest
5.667692,4.965452,1.944538,5.63402,4.684289,1.970221,5.607204,3.856585,2.09544,3.653713,5.089674,1.921646,3.690508,4.788426,1.935169,3.611989,3.962044,2.04748,4.629879,4.065515,2.082855,4.632284,1.2961,2.095742,5907560,Rest,Rest,Rest
5.667451,4.965012,1.94445,5.633421,4.683951,1.970167,5.60601,3.854869,2.095323,3.654051,5.088278,1.921784,3.688908,4.787137,1.935621,3.611934,3.961945,2.047665,4.628443,4.06666,2.082735,4.630609,1.296064,2.096106,5907591,Rest,Rest,Rest
5.666224,4.964561,1.944453,5.631594,4.683375,1.970092,5.608039,3.850942,2.095231,3.654547,5.086842,1.921584,3.687582,4.78644,1.936234,3.611526,3.958497,2.04866,4.627631,4.068136,2.082652,4.629013,1.294888,2.096331,5907622,Rest,Rest,Rest
5.664816,4.962877,1.944338,5.630426,4.680966,1.969677,5.608494,3.850949,2.095179,3.652866,5.087312,1.922183,3.687168,4.786403,1.936305,3.611927,3.957971,2.048829,4.627574,4.068774,2.082621,4.627107,1.293265,2.097313,5907669,Rest,Rest,Rest
5.6589,4.960497,1.943177,5.628619,4.680286,1.969468,5.608136,3.848919,2.094904,3.650675,5.090102,1.922477,3.686841,4.789176,1.93641,3.612118,3.95852,2.04883,4.626316,4.071416,2.082459,4.626712,1.291769,2.097713,5907700,Rest,Rest,Rest
5.65883,4.961785,1.942829,5.626127,4.681457,1.968961,5.607596,3.848196,2.094512,3.647638,5.090163,1.922935,3.686126,4.789064,1.936475,3.612816,3.96017,2.048944,4.62586,4.072457,2.082383,4.625022,1.289653,2.098181,5907731,Rest,Rest,Rest
5.656667,4.960188,1.942725,5.624053,4.679288,1.968621,5.603932,3.858777,2.092557,3.647255,5.088497,1.923507,3.684049,4.786915,1.936814,3.613012,3.960532,2.04898,4.625768,4.073261,2.082366,4.625134,1.289698,2.098277,5907763,Rest,Rest,Rest
5.651154,4.959301,1.941737,5.622526,4.679913,1.968467,5.606428,3.84636,2.093135,3.646459,5.089656,1.924825,3.683902,4.786809,1.936861,3.613375,3.962128,2.048872,4.625978,4.074109,2.082344,4.624304,1.287816,2.098696,5907794,Rest,Rest,Rest
5.650158,4.959054,1.941334,5.62148,4.680065,1.968232,5.606559,3.846496,2.093153,3.645948,5.09729,1.923917,3.68406,4.794574,1.936009,3.616889,3.974697,2.047721,4.624485,4.07581,2.082235,4.623355,1.285192,2.098682,5907825,Rest,Rest,Rest
5.647403,4.958834,1.941221,5.620914,4.679776,1.968186,5.605464,3.846116,2.092983,3.646901,5.098048,1.924461,3.683576,4.794637,1.936037,3.616423,3.974756,2.047775,4.624989,4.075049,2.082224,4.622511,1.284138,2.09866,5907856,Rest,Rest,Rest
5.648374,4.960294,1.941184,5.619707,4.680842,1.9679,5.608719,3.864553,2.090131,3.646928,5.100798,1.924117,3.68414,4.797241,1.93548,3.61651,3.977106,2.04715,4.624271,4.075552,2.082227,4.622297,1.282241,2.098644,5907888,Rest,Rest,Rest
5.647463,4.959396,1.941362,5.619812,4.679507,1.967943,5.606891,3.859089,2.09078,3.647567,5.11757,1.922203,3.685336,4.813962,1.933447,3.620422,3.993255,2.04503,4.624163,4.077519,2.082166,4.620816,1.278754,2.098799,5907935,Rest,Rest,Rest
5.64668,4.960706,1.941266,5.618478,4.680778,1.967812,5.60772,3.853907,2.091728,3.647301,5.119381,1.922021,3.685441,4.815754,1.933208,3.619303,3.99439,2.04457,4.625102,4.07679,2.082195,4.619746,1.275836,2.098878,5907966,Rest,Rest,Rest
5.643961,4.959961,1.940892,5.61833,4.680445,1.967719,5.60539,3.848551,2.092098,3.647103,5.123672,1.921392,3.685721,4.819892,1.932356,3.621849,3.99672,2.043198,4.624362,4.076915,2.08215,4.620154,1.272291,2.099136,5907997,Rest,Rest,Rest
5.642496,4.959452,1.939972,5.617975,4.681641,1.967546,5.600132,3.844537,2.09236,3.646566,5.118711,1.921998,3.685343,4.814689,1.932685,3.618269,3.990028,2.042964,4.625462,4.076613,2.082163,4.618363,1.269822,2.099261,5908028,Rest,Rest,Rest
5.639429,4.962768,1.94121,5.61794,4.681715,1.967549,5.596683,3.838214,2.092928,3.646277,5.118194,1.921575,3.68517,4.814178,1.932266,3.618056,3.990166,2.042793,4.623678,4.077926,2.081991,4.617674,1.269059,2.099278,5908060,Rest,Rest,Rest
5.642426,4.96243,1.941144,5.617894,4.681819,1.967569,5.593818,3.836673,2.092979,3.64811,5.113748,1.918396,3.685563,4.811704,1.93131,3.615657,3.989574,2.04242,4.621935,4.080743,2.081739,4.617701,1.269413,2.099219,5908091,Rest,Rest,Rest
5.640096,4.963545,1.941514,5.617893,4.681946,1.967603,5.591987,3.83105,2.093402,3.650091,5.11635,1.917858,3.686053,4.813135,1.929815,3.615132,3.991607,2.041117,4.619707,4.086837,2.081452,4.620649,1.272249,2.098224,5908122,Rest,Rest,Rest
5.643367,4.964568,1.941557,5.617403,4.683196,1.967605,5.593467,3.818792,2.094979,3.651912,5.126315,1.915658,3.68697,4.823803,1.928408,3.615488,4.000654,2.039154,4.616094,4.110372,2.080179,4.638978,1.29705,2.095168,5908169,Rest,Rest,Rest
5.645036,4.96279,1.941691,5.617575,4.681705,1.967798,5.591897,3.816406,2.095556,3.653494,5.125875,1.915056,3.689181,4.823613,1.927967,3.614765,4.001375,2.03894,4.615447,4.11648,2.080229,4.651506,1.311821,2.091237,5908200,Rest,Rest,Rest
5.645359,4.963135,1.941774,5.617293,4.681992,1.967828,5.579811,3.845979,2.093112,3.653583,5.120746,1.915804,3.690522,4.818334,1.928424,3.610612,3.995497,2.039026,4.617465,4.12313,2.080425,4.671456,1.331828,2.085553,5908231,Rest,Rest,Rest
5.645465,4.967025,1.941303,5.614109,4.686781,1.967598,5.573333,3.841167,2.094096,3.652442,5.084457,1.919911,3.687786,4.781909,1.932594,3.538986,3.829406,2.055817,4.619205,4.124164,2.080644,4.68786,1.34721,2.076537,5908263,Rest,Rest,Rest
5.641398,4.966241,1.943278,5.606585,4.683123,1.968131,5.565038,3.838063,2.096995,3.584604,5.163962,1.920662,3.708293,4.88012,1.926808,3.53129,3.817278,2.056264,4.617443,4.129141,2.080927,4.703951,1.363696,2.070532,5908310,Rest,Rest,Rest
5.639158,4.971211,1.944083,5.599914,4.688872,1.969028,5.556764,3.830504,2.099558,3.626743,5.140881,1.916799,3.69977,4.847498,1.931503,3.525609,3.807032,2.056983,4.621204,4.124723,2.081557,4.704613,1.360078,2.068434,5908325,Rest,Rest,Rest
5.629581,4.973233,1.943665,5.592429,4.695382,1.970671,5.550383,3.827614,2.102009,3.646201,5.11252,1.917204,3.695305,4.817715,1.934516,3.523332,3.801938,2.057479,4.62081,4.122481,2.081699,4.703852,1.361514,2.064947,5908356,Rest,Rest,Rest
5.621896,4.977275,1.946298,5.588816,4.695829,1.971996,5.552126,3.821212,2.105317,3.654341,5.104416,1.917941,3.693149,4.808113,1.935277,3.562823,3.907493,2.044769,4.621691,4.11893,2.081921,4.707879,1.357733,2.063062,5908403,Rest,Rest,Rest
5.620412,4.968907,1.947677,5.586469,4.691109,1.974876,5.544153,3.859707,2.103988,3.654104,5.104022,1.918947,3.692857,4.806933,1.935745,3.559412,3.865324,2.049407,4.621222,4.114872,2.082124,4.716031,1.350122,2.060473,5908435,Rest,Rest,Rest
5.620492,4.968474,1.949063,5.584459,4.692017,1.976698,5.541495,3.880205,2.102645,3.660236,5.093607,1.919501,3.689193,4.796577,1.937112,3.552944,3.822824,2.050909,4.622722,4.103975,2.082401,4.718197,1.347274,2.057189,5908466,Rest,Rest,Rest
5.620699,4.966945,1.950425,5.584357,4.691876,1.978593,5.541454,3.880441,2.102758,3.661592,5.093029,1.919608,3.688432,4.796013,1.937362,3.576308,3.884458,2.044148,4.624587,4.101693,2.082472,4.718967,1.340692,2.052933,5908497,Rest,Rest,Rest
5.620479,4.958935,1.951403,5.585142,4.685987,1.980432,5.543154,3.880483,2.102906,3.663167,5.093385,1.919826,3.687695,4.796152,1.937566,3.587035,3.909206,2.041251,4.624475,4.099188,2.082489,4.716338,1.339791,2.049647,5908528,Rest,Rest,Rest
5.620445,4.958455,1.951606,5.584859,4.685747,1.980711,5.547697,3.88035,2.102211,3.665007,5.09318,1.920084,3.687512,4.795311,1.937498,3.587025,3.908541,2.041065,4.626036,4.09658,2.082276,4.713569,1.333065,2.046723,5908560,Rest,Rest,Rest
5.62012,4.959116,1.950847,5.584123,4.688235,1.980605,5.555596,3.880525,2.100239,3.665977,5.080873,1.920903,3.685297,4.78053,1.936692,3.587301,3.909166,2.04022,4.629425,4.090817,2.081417,4.699232,1.329706,2.04435,5908591,Rest,Rest,Rest
5.616659,4.954784,1.949062,5.583587,4.687654,1.980275,5.576487,3.834337,2.101324,3.668488,5.073114,1.921696,3.684525,4.771166,1.936365,3.58687,3.905632,2.037949,4.630367,4.088279,2.079988,4.684697,1.327372,2.044435,5908622,Rest,Rest,Rest
5.617282,4.957902,1.947771,5.584042,4.689461,1.978524,5.579978,3.823308,2.099358,3.670817,5.068122,1.921708,3.684971,4.76571,1.936069,3.585416,3.892709,2.037266,4.632345,4.082916,2.077924,4.673014,1.320722,2.045434,5908653,Rest,Rest,Rest
5.614781,4.958157,1.944985,5.582282,4.691987,1.976549,5.583049,3.816511,2.09777,3.675986,5.070014,1.921109,3.687269,4.767236,1.935262,3.566735,3.821797,2.038701,4.630678,4.081485,2.076111,4.654888,1.307672,2.048301,5908700,Rest,Rest,Rest
5.616112,4.960917,1.943771,5.586628,4.688851,1.973383,5.584338,3.814849,2.096189,3.678858,5.06884,1.92096,3.690287,4.764877,1.934055,3.571987,3.823336,2.037378,4.63312,4.076106,2.074274,4.637888,1.302181,2.050929,5908731,Rest,Rest,Rest
5.627198,4.966081,1.942652,5.591743,4.690446,1.970638,5.593913,3.805067,2.092774,3.683348,5.060308,1.916125,3.692897,4.759345,1.9318,3.574018,3.824676,2.036281,4.633867,4.074754,2.072293,4.627339,1.294376,2.052055,5908763,Rest,Rest,Rest
5.625623,4.975312,1.94126,5.59607,4.691951,1.966278,5.606904,3.805848,2.088862,3.685308,5.05547,1.914919,3.693273,4.753997,1.930235,3.587576,3.849604,2.033098,4.633785,4.070493,2.069447,4.621477,1.293509,2.052714,5908794,Rest,Rest,Rest
5.633237,4.976538,1.937374,5.601531,4.69066,1.961111,5.607919,3.804625,2.082367,3.685447,5.047663,1.911078,3.695294,4.748368,1.927981,3.60263,3.879223,2.029641,4.632615,4.07056,2.067311,4.614272,1.298599,2.052999,5908825,Rest,Rest,Rest
5.636741,4.976702,1.934786,5.606463,4.68877,1.957588,5.617016,3.810179,2.077907,3.684821,5.044644,1.909897,3.696115,4.744881,1.92643,3.603387,3.884367,2.028481,4.631467,4.077411,2.064786,4.609785,1.297885,2.05314,5908856,Rest,Rest,Rest
5.633507,4.972236,1.92916,5.611713,4.688646,1.954399,5.61988,3.818521,2.073758,3.691991,5.027145,1.903864,3.700747,4.733045,1.924113,3.603545,3.885354,2.028245,4.633253,4.076023,2.062896,4.60896,1.298026,2.053357,5908888,Rest,Rest,Rest
5.647925,4.963881,1.924166,5.621961,4.680836,1.949493,5.618921,3.818742,2.070506,3.693158,5.025489,1.902608,3.703649,4.729287,1.92156,3.603308,3.885795,2.028027,4.631949,4.07339,2.06091,4.606682,1.299508,2.053077,5908935,Rest,Rest,Rest
5.654974,4.957759,1.921789,5.627151,4.674115,1.946769,5.618775,3.816568,2.068058,3.693521,5.030533,1.901277,3.705721,4.732728,1.919157,3.603217,3.885811,2.027816,4.631752,4.075654,2.058907,4.605264,1.300661,2.052644,5908966,Rest,Rest,Rest
5.66599,4.981385,1.915787,5.63211,4.697764,1.940479,5.610791,3.885717,2.055696,3.697044,5.027801,1.898933,3.706345,4.731213,1.917674,3.602577,3.887617,2.02717,4.632835,4.077672,2.056373,4.607345,1.300969,2.052296,5908997,Rest,Rest,Rest
5.672041,5.011802,1.910629,5.636112,4.726639,1.934484,5.609071,3.916447,2.050259,3.695426,5.026089,1.894919,3.705989,4.731037,1.914584,3.602606,3.888314,2.027037,4.635704,4.076192,2.053466,4.604341,1.29796,2.052231,5909028,Rest,Rest,Rest
5.675823,4.992159,1.912482,5.635705,4.704306,1.934727,5.611489,3.892375,2.049985,3.693242,5.024241,1.891961,3.707529,4.732175,1.913252,3.602404,3.88142,2.026858,4.637482,4.077829,2.051449,4.604463,1.298302,2.052161,5909060,Rest,Rest,Rest
5.676215,4.972332,1.913794,5.633345,4.683284,1.935203,5.616329,3.867717,2.04933,3.693045,5.018794,1.889156,3.708018,4.729818,1.91206,3.596306,3.835661,2.029064,4.635149,4.078812,2.048727,4.602353,1.301244,2.051809,5909091,Rest,Rest,Rest
