frame,verdadeiro,classificado,rotulo_d,saida_d,rotulo_p,saida_p,rotulo_h,saida_h,rotulo_s,saida_s,rotulo_r,saida_r
22,D,D,D,-2.0579,NP,-0.9065,NH,1.0297,NS,-0.6995,NR,-3.0443
23,D,D,D,-2.0727,NP,-0.9147,NH,1.0291,NS,-0.7385,NR,-3.0659
24,D,D,D,-2.1237,NP,-0.9246,NH,1.0291,NS,-0.7792,NR,-3.0299
25,D,D,D,-2.161,NP,-0.9237,NH,1.0334,NS,-0.7674,NR,-3.1079
26,D,D,D,-2.1464,NP,-0.9415,NH,1.0327,NS,-0.7986,NR,-3.1233
27,D,D,D,-2.1766,NP,-0.9258,NH,1.0362,NS,-0.8158,NR,-3.1176
28,D,D,D,-2.2313,NP,-0.9312,NH,1.0381,NS,-0.7847,NR,-3.0958
29,D,D,D,-2.2832,NP,-0.9158,NH,1.0413,NS,-0.8383,NR,-3.1897
30,D,D,D,-2.4076,NP,-0.9265,NH,1.0441,NS,-0.813,NR,-3.3267
31,D,D,D,-2.4601,NP,-0.9028,NH,1.0468,NS,-0.8028,NR,-3.3838
32,D,D,D,-2.472,NP,-0.9154,NH,1.0467,NS,-0.8075,NR,-3.3983
33,D,D,D,-2.5106,NP,-0.9327,NH,1.0467,NS,-0.8069,NR,-3.4715
34,D,D,D,-2.3555,NP,-0.9056,NH,1.0423,NS,-0.8077,NR,-3.3433
35,D,D,D,-2.3978,NP,-0.9025,NH,1.0438,NS,-0.8043,NR,-3.3991
36,D,D,D,-2.4024,NP,-0.8951,NH,1.0453,NS,-0.8073,NR,-3.4268
37,D,D,D,-2.3962,NP,-0.8899,NH,1.0465,NS,-0.7949,NR,-3.4384
38,D,D,D,-2.4221,NP,-0.883,NH,1.0478,NS,-0.7799,NR,-3.4821
39,D,D,D,-2.4306,NP,-0.8792,NH,1.0489,NS,-0.768,NR,-3.5266
40,D,D,D,-2.4453,NP,-0.8775,NH,1.049,NS,-0.8023,NR,-3.4677
41,D,D,D,-2.4381,NP,-0.8697,NH,1.051,NS,-0.7696,NR,-3.4824
42,D,D,D,-2.4202,NP,-0.8736,NH,1.0519,NS,-0.7758,NR,-3.5014
43,D,D,D,-2.3009,NP,-0.8577,NH,1.0615,NS,-0.7837,NR,-3.3876
44,D,D,D,-2.2193,NP,-0.8596,NH,1.0706,NS,-0.7333,NR,-3.3301
45,D,D,D,-2.1038,NP,-0.8266,NH,1.0805,NS,-0.7275,NR,-3.29
46,D,D,D,-2.0929,NP,-0.7848,NH,1.0879,NS,-0.7244,NR,-3.3418
47,D,D,D,-2.1145,NP,-0.7056,NH,1.089,NS,-0.7463,NR,-3.3907
48,D,D,D,-2.126,NP,-0.6673,NH,1.0895,NS,-0.7235,NR,-3.4881
49,D,D,D,-2.2334,NP,-0.6527,NH,1.0928,NS,-0.6792,NR,-3.6002
50,D,D,D,-2.1427,NP,-0.6724,NH,1.0926,NS,-0.6783,NR,-3.4549
51,D,D,D,-2.1783,NP,-0.704,NH,1.0955,NS,-0.7717,NR,-3.3005
52,D,D,D,-2.193,NP,-0.7388,NH,1.0983,NS,-0.7964,NR,-3.2605
53,D,D,D,-2.2083,NP,-0.7568,NH,1.1026,NS,-0.8194,NR,-3.2714
54,D,D,D,-2.3495,NP,-0.7653,NH,1.1091,NS,-0.7614,NR,-3.4753
55,D,D,D,-2.3498,NP,-0.7767,NH,1.1185,NS,-0.6861,NR,-3.5462
56,D,D,D,-2.4128,NP,-0.7991,NH,1.131,NS,-0.6862,NR,-3.6315
57,D,D,D,-2.5224,NP,-0.8113,NH,1.1426,NS,-0.6229,NR,-3.8556
58,D,D,D,-2.5782,NP,-0.8393,NH,1.1575,NS,-0.686,NR,-3.9718
59,D,D,D,-2.6037,NP,-0.8678,NH,1.1707,NS,-0.7677,NR,-3.817
60,D,D,D,-2.6197,NP,-0.9053,NH,1.1794,NS,-0.8582,NR,-3.6443
61,D,D,D,-2.5954,NP,-0.9396,NH,1.1814,NS,-0.8433,NR,-3.5365
62,D,D,D,-2.6618,NP,-0.9611,NH,1.1811,NS,-0.8526,NR,-3.581
63,D,D,D,-2.7706,NP,-1.0066,NH,1.1776,NS,-0.8121,NR,-3.6041
64,D,D,D,-2.9232,NP,-1.0117,NH,1.1856,NS,-0.78,NR,-3.6022
65,D,D,D,-3.083,NP,-1.0437,NH,1.1848,NS,-0.64,NR,-3.7089
66,D,D,D,-3.0314,NP,-1.0651,NH,1.183,NS,-0.5707,NR,-3.6692
67,D,D,D,-2.9063,NP,-1.0838,NH,1.1756,NS,-0.5082,NR,-3.5995
68,D,D,D,-2.7877,NP,-1.1011,NH,1.1766,NS,-0.5697,NR,-3.5079
69,D,D,D,-2.6899,NP,-1.0895,NH,1.1773,NS,-0.7162,NR,-3.3154
70,D,D,D,-2.5376,NP,-1.0791,NH,1.1736,NS,-0.8184,NR,-3.1605
71,D,D,D,-2.2904,NP,-1.0909,NH,1.1938,NS,-0.992,NR,-2.8582
72,D,D,D,-2.0547,NP,-1.125,NH,1.2185,NS,-1.0617,NR,-2.7142
73,D,D,D,-1.9561,NP,-1.0835,NH,1.2253,NS,-1.0626,NR,-2.7222
74,D,D,D,-2.1597,NP,-1.0273,NH,1.2372,NS,-1.1881,NR,-2.886
75,D,D,D,-2.3246,NP,-1.0529,NH,1.2427,NS,-1.2932,NR,-2.9463
76,D,D,D,-2.6534,NP,-1.0749,NH,1.2221,NS,-1.1875,NR,-3.3431
77,D,D,D,-2.7703,NP,-1.053,NH,1.2101,NS,-1.2021,NR,-3.3646
78,D,D,D,-2.8765,NP,-1.0692,NH,1.2175,NS,-1.3041,NR,-3.489
79,D,D,D,-3.0065,NP,-1.1311,NH,1.199,NS,-1.3162,NR,-3.4237
80,D,D,D,-2.8602,NP,-1.0833,NH,1.1926,NS,-1.2023,NR,-3.2393
81,D,D,D,-2.8454,NP,-1.086,NH,1.2193,NS,-1.2108,NR,-3.1545
82,D,D,D,-2.9554,NP,-1.0474,NH,1.2164,NS,-1.2732,NR,-3.3604
83,D,D,D,-2.7755,NP,-0.9937,NH,1.2193,NS,-1.0703,NR,-3.2364
84,D,D,D,-3.0968,NP,-0.9759,NH,1.2098,NS,-0.9798,NR,-3.6751
85,D,D,D,-3.1428,NP,-0.9417,NH,1.2141,NS,-0.9207,NR,-3.921
86,D,D,D,-3.1128,NP,-0.8818,NH,1.2241,NS,-0.9192,NR,-4.1161
87,D,D,D,-3.0558,NP,-0.9348,NH,1.2256,NS,-0.9302,NR,-3.8762
88,D,D,D,-2.9696,NP,-0.9278,NH,1.2216,NS,-0.8516,NR,-3.9126
89,D,D,D,-2.9134,NP,-0.9279,NH,1.214,NS,-0.8214,NR,-3.8544
90,D,D,D,-2.8215,NP,-0.9924,NH,1.2137,NS,-0.8768,NR,-3.7488
91,D,D,D,-2.6636,NP,-1.0239,NH,1.1981,NS,-0.8976,NR,-3.2754
92,D,D,D,-2.6021,NP,-0.9986,NH,1.2067,NS,-0.7234,NR,-3.2622
93,D,D,D,-2.1506,NP,-1.0224,NH,1.2135,NS,-0.5393,NR,-2.9642
94,D,D,D,-1.9929,NP,-1.0352,NH,1.2106,NS,-0.4996,NR,-2.927
95,D,D,D,-1.7644,NP,-1.0094,NH,1.1962,NS,-0.4091,NR,-2.7946
96,D,D,D,-1.8965,NP,-0.989,NH,1.2417,NS,-0.6683,NR,-2.8365
97,D,D,D,-1.5931,NP,-0.9541,NH,1.1981,NS,-0.5542,NR,-2.5683
98,D,D,D,-1.424,NP,-0.9767,NH,1.1713,NS,-0.6336,NR,-2.4581
99,D,D,D,-1.2911,NP,-1.0279,NH,1.1635,NS,-0.6026,NR,-2.2276
100,D,D,D,-1.1792,NP,-0.9807,NH,1.161,NS,-0.8955,NR,-2.0345
101,D,D,D,-1.0477,NP,-0.9923,NH,1.1311,NS,-0.8175,NR,-1.937
102,D,D,D,-1.0897,NP,-0.9484,NH,1.1364,NS,-0.7099,NR,-2.0257
103,D,D,D,-1.1809,NP,-0.9753,NH,1.0996,NS,-0.6432,NR,-2.0373
104,D,D,D,-0.9334,NP,-0.9615,NH,1.0704,NS,-0.5434,NR,-1.7565
105,D,D,D,-0.9872,NP,-0.9545,NH,1.0582,NS,-0.4642,NR,-1.779
106,D,D,D,-0.9653,NP,-0.9411,NH,1.0472,NS,-0.4356,NR,-1.7911
107,D,D,D,-0.8457,NP,-0.9315,NH,1.0449,NS,-0.3477,NR,-1.9042
108,D,D,D,-0.9337,NP,-0.9035,NH,1.0265,NS,-0.3922,NR,-2.0533
109,D,D,D,-1.0279,NP,-0.888,NH,1.0158,NS,-0.4977,NR,-2.0794
110,D,D,D,-0.8529,NP,-0.8842,NH,1.0203,NS,-0.3309,NR,-1.9586
111,D,D,D,-0.5393,NP,-0.8384,NH,1.0303,NS,-0.0773,NR,-1.8707
112,D,D,D,-0.7619,NP,-0.8801,NH,1.014,NS,-0.3,NR,-1.8308
113,D,D,D,-0.8844,NP,-0.9235,NH,1.0014,NS,-0.255,NR,-1.9842
114,D,D,D,-0.962,NP,-0.9017,NH,0.9876,NS,-0.2256,NR,-2.1404
115,D,D,D,-0.8628,NP,-0.941,NH,0.9652,NS,-0.2836,NR,-1.9927
116,D,D,D,-0.694,NP,-0.9933,NH,0.993,NS,-0.2093,NR,-1.732
117,D,D,D,-0.5136,NP,-1.0139,NH,0.9554,NS,-0.1428,NR,-1.6683
118,D,D,D,-0.5287,NP,-1.0388,NH,0.9823,NS,-0.2456,NR,-1.6106
119,D,D,D,-0.516,NP,-1.0471,NH,0.9466,NS,-0.2571,NR,-1.6172
120,D,D,D,-0.3955,NP,-0.9718,NH,0.9152,NS,-0.4504,NR,-1.492
121,D,D,D,-0.3509,NP,-0.9222,NH,0.915,NS,-0.4979,NR,-1.474
122,D,D,D,-0.3775,NP,-0.8578,NH,0.8934,NS,-0.574,NR,-1.5302
123,D,D,D,-0.4932,NP,-0.8214,NH,0.8995,NS,-0.6276,NR,-1.6256
124,D,D,D,-0.3514,NP,-0.7722,NH,0.8671,NS,-0.7255,NR,-1.4652
125,D,D,D,-0.3619,NP,-0.772,NH,0.861,NS,-0.8123,NR,-1.4129
126,D,D,D,-0.2002,NP,-0.7433,NH,0.8469,NS,-0.9549,NR,-1.2775
127,D,D,D,-0.1399,NP,-0.7256,NH,0.9902,NS,-1.02,NR,-1.1475
128,D,D,D,-0.1988,NP,-0.7841,NH,1.0218,NS,-1.0207,NR,-1.2454
129,D,D,D,-0.1349,NP,-0.8738,NH,0.963,NS,-1.1203,NR,-1.1714
130,D,D,D,-0.5136,NP,-0.7013,NH,0.9775,NS,-1.3446,NR,-1.683
131,D,D,D,-0.6251,NP,-0.5492,NH,1.0536,NS,-1.3938,NR,-1.9919
132,D,D,D,-1.1218,NP,-0.7311,NH,1.3576,NS,-1.3954,NR,-2.1365
133,D,D,D,-0.7516,NP,-1.0205,NH,1.4301,NS,-1.4316,NR,-1.439
134,P,D,D,-1.5198,NP,-1.4055,NH,1.4501,NS,-1.514,NR,-1.6719
135,P,D,D,-2.035,NP,-1.1363,NH,1.4285,NS,-1.513,NR,-2.5356
136,P,D,D,-1.805,NP,-1.1859,NH,1.4521,NS,-1.5636,NR,-2.0784
137,P,D,D,-1.555,NP,-1.0318,NH,1.4783,NS,-1.5841,NR,-1.9231
138,S,D,D,-0.9152,NP,-1.0161,NH,1.5192,NS,-1.6029,NR,-1.2859
139,S,D,D,-1.3888,NP,-1.4786,NH,1.5892,NS,-1.6343,NR,-1.359
140,S,D,D,-0.7593,NP,-1.4984,NH,1.5407,NS,-1.5647,NR,-0.8613
141,S,D,D,-0.7767,NP,-1.4939,NH,1.5379,NS,-1.6746,NR,-0.6431
142,S,D,D,-0.8374,NP,-0.8646,NH,1.5059,NS,-1.6965,NR,-1.4437
143,S,D,D,-1.2873,NP,-0.8516,NH,1.5283,NS,-1.6259,NR,-1.7754
144,S,D,D,-0.9729,NP,-0.9445,NH,1.5377,NS,-1.6536,NR,-1.5274
145,S,D,D,-1.0915,NP,-1.0601,NH,1.5339,NS,-1.6522,NR,-1.5443
146,S,D,D,-1.5167,NP,-1.2561,NH,1.5868,NS,-1.7516,NR,-1.7607
147,S,D,D,-1.2795,NP,-1.5071,NH,1.6506,NS,-1.7429,NR,-1.2008
148,R,D,D,-1.1727,NP,-2.0345,NH,1.637,NS,-1.7076,NR,-0.7469
149,R,D,D,-1.124,NP,-1.9721,NH,1.6395,NS,-1.6859,NR,-0.8191
150,R,D,D,-0.7917,NP,-2.3721,NH,1.6012,NS,-1.6998,NR,-0.052
151,R,D,D,-0.6279,NP,-1.9043,NH,1.6147,NS,-1.6845,NR,-0.212
152,R,D,D,-1.1326,NP,-1.8223,NH,1.5712,NS,-1.6763,NR,-0.8415
153,R,D,D,-0.8537,NP,-1.5539,NH,1.6052,NS,-1.6472,NR,-0.8248
154,R,D,D,-1.1036,NP,-1.9145,NH,1.5781,NS,-1.6622,NR,-0.763
155,R,D,D,-1.058,NP,-2.3115,NH,1.5753,NS,-1.6822,NR,-0.3509
156,R,D,D,-1.037,NP,-2.3287,NH,1.5637,NS,-1.6536,NR,-0.2337
157,R,D,D,-1.5877,NP,-2.3839,NH,1.5664,NS,-1.6866,NR,-0.8553
158,R,D,D,-2.5225,NP,-2.3832,NH,1.5929,NS,-1.691,NR,-1.8383
159,R,D,D,-1.522,NP,-2.4827,NH,1.5925,NS,-1.6267,NR,-0.8034
160,R,D,D,-1.6601,NP,-2.6621,NH,1.5879,NS,-1.6443,NR,-0.846
161,R,D,D,-2.1089,NP,-2.5966,NH,1.5904,NS,-1.6918,NR,-1.2189
162,R,D,D,-2.1444,NP,-2.4648,NH,1.6499,NS,-1.7158,NR,-1.5371
163,D,D,D,-2.3544,NP,-2.4588,NH,1.5805,NS,-1.6474,NR,-1.8923
164,D,D,D,-1.2452,NP,-2.3582,NH,1.5755,NS,-1.6499,NR,-0.676
165,D,D,D,-3.1819,NP,-1.8764,NH,1.5248,NS,-1.7559,NR,-3.0987
166,D,D,D,-2.7173,NP,-1.9622,NH,1.5597,NS,-1.7113,NR,-2.5457
167,D,D,D,-3.82,NP,-1.9614,NH,1.5602,NS,-1.768,NR,-3.5749
168,D,D,D,-2.9893,NP,-1.9552,NH,1.5727,NS,-1.7407,NR,-2.793
169,D,D,D,-2.9182,NP,-2.0904,NH,1.6142,NS,-1.7194,NR,-2.5276
170,D,D,D,-3.389,NP,-2.0695,NH,1.5573,NS,-1.7102,NR,-2.9835
171,D,D,D,-2.355,NP,-2.1573,NH,1.6236,NS,-1.6278,NR,-1.8203
172,D,D,D,-2.9116,NP,-2.1854,NH,1.5207,NS,-1.5916,NR,-2.6618
173,D,D,D,-1.7127,NP,-2.1264,NH,1.5588,NS,-1.6126,NR,-1.4396
174,D,D,D,-1.3301,NP,-2.0311,NH,1.5202,NS,-1.6006,NR,-1.2423
175,D,D,D,-0.823,NP,-2.1474,NH,1.5105,NS,-1.559,NR,-0.8275
176,D,D,D,-1.5331,NP,-1.944,NH,1.5149,NS,-1.6704,NR,-1.6887
177,D,D,D,-0.729,NP,-1.8182,NH,1.5151,NS,-1.5885,NR,-1.0291
178,D,D,D,-1.7817,NP,-1.58,NH,1.4867,NS,-1.6046,NR,-2.0353
179,D,D,D,-1.4091,NP,-1.8261,NH,1.4881,NS,-1.5913,NR,-1.3254
180,D,D,D,-3.163,NP,-1.8868,NH,1.5642,NS,-1.6016,NR,-3.0328
181,D,D,D,-2.7558,NP,-2.1294,NH,1.6196,NS,-1.5921,NR,-2.2846
182,D,D,D,-2.2107,NP,-2.2408,NH,1.5689,NS,-1.6094,NR,-1.6002
183,D,D,D,-2.2405,NP,-2.0752,NH,1.6073,NS,-1.5857,NR,-1.7918
184,D,D,D,-1.6633,NP,-2.2231,NH,1.6996,NS,-1.5882,NR,-1.0004
185,D,D,D,-2.6871,NP,-2.0971,NH,1.6647,NS,-1.6114,NR,-2.336
186,D,D,D,-1.2505,NP,-1.8964,NH,1.659,NS,-1.4606,NR,-1.4713
187,D,D,D,-1.8019,NP,-2.1601,NH,1.6646,NS,-1.6554,NR,-1.5596
188,D,D,D,-1.0766,NP,-1.5439,NH,1.5402,NS,-1.6424,NR,-1.6178
189,D,D,D,-2.2241,NP,-1.2602,NH,1.6356,NS,-1.6262,NR,-2.8397
190,D,D,D,-1.9127,NP,-1.3295,NH,1.5505,NS,-1.5999,NR,-2.7296
191,D,D,D,-2.3964,NP,-1.4221,NH,1.6258,NS,-1.5298,NR,-2.831
192,D,D,D,-2.5625,NP,-1.6584,NH,1.6244,NS,-1.5423,NR,-2.6039
193,D,D,D,-1.8211,NP,-1.6597,NH,1.5779,NS,-1.452,NR,-1.828
194,D,D,D,-2.4747,NP,-1.7911,NH,1.5641,NS,-1.4623,NR,-2.3209
195,D,D,D,-2.1336,NP,-1.8439,NH,1.5272,NS,-1.3402,NR,-1.909
196,D,D,D,-2.1344,NP,-1.8945,NH,1.5018,NS,-1.5212,NR,-1.6303
197,D,D,D,-2.0294,NP,-1.6413,NH,1.4532,NS,-1.5281,NR,-1.7515
198,D,D,D,-2.265,NP,-1.532,NH,1.4596,NS,-1.5751,NR,-2.0231
199,D,D,D,-2.167,NP,-1.5747,NH,1.4372,NS,-1.5251,NR,-1.8763
200,D,D,D,-2.1415,NP,-1.5409,NH,1.4302,NS,-1.5257,NR,-1.9693
201,D,D,D,-1.8761,NP,-1.6069,NH,1.441,NS,-1.5762,NR,-1.7432
202,D,D,D,-1.6129,NP,-1.535,NH,1.3811,NS,-1.5074,NR,-1.5846
203,D,D,D,-1.4864,NP,-1.5261,NH,1.3861,NS,-1.5266,NR,-1.5443
204,D,D,D,-1.0877,NP,-1.497,NH,1.3514,NS,-1.6111,NR,-1.2915
205,D,D,D,-1.0787,NP,-1.4885,NH,1.4209,NS,-1.6215,NR,-1.2369
206,D,D,D,-1.2717,NP,-1.553,NH,1.3848,NS,-1.5017,NR,-1.5795
207,D,D,D,-0.4944,NP,-1.6701,NH,1.4367,NS,-1.6471,NR,-0.6551
208,D,D,D,-0.8941,NP,-1.6462,NH,1.4132,NS,-1.342,NR,-1.4456
209,D,D,D,-0.5186,NP,-1.7995,NH,1.3935,NS,-1.1736,NR,-0.9721
210,D,D,D,-0.6184,NP,-1.7318,NH,1.3691,NS,-1.3906,NR,-1.0272
211,D,D,D,-0.5644,NP,-1.6525,NH,1.3725,NS,-1.2256,NR,-1.1318
212,D,D,D,-0.158,NP,-1.6408,NH,1.4164,NS,-1.1424,NR,-0.8505
213,D,D,D,-0.4562,NP,-1.4901,NH,1.3083,NS,-1.1924,NR,-0.9757
214,D,D,D,-0.4006,NP,-1.4287,NH,1.2786,NS,-1.0041,NR,-0.8682
215,D,D,D,-0.6151,NP,-1.3473,NH,1.1777,NS,-1.0685,NR,-0.9473
216,D,D,D,-0.6329,NP,-1.2018,NH,1.1057,NS,-0.9148,NR,-0.9569
217,D,D,D,-0.6215,NP,-1.0597,NH,1.0464,NS,-0.7973,NR,-0.9991
218,D,D,D,-0.6972,NP,-0.9655,NH,1.0019,NS,-0.7527,NR,-1.0984
219,D,D,D,-0.6071,NP,-0.9031,NH,0.9813,NS,-0.7261,NR,-1.0525
220,D,D,D,-0.5624,NP,-0.8685,NH,0.9724,NS,-0.7187,NR,-1.0345
221,D,D,D,-0.5042,NP,-0.8484,NH,0.9695,NS,-0.7057,NR,-0.9952
222,D,D,D,-0.4655,NP,-0.839,NH,0.9681,NS,-0.6903,NR,-0.9706
223,D,D,D,-0.4334,NP,-0.8327,NH,0.967,NS,-0.6739,NR,-0.9561
224,D,D,D,-0.4127,NP,-0.8287,NH,0.966,NS,-0.6605,NR,-0.9501
225,D,D,D,-0.4021,NP,-0.8266,NH,0.9654,NS,-0.6537,NR,-0.9486
226,D,D,D,-0.377,NP,-0.8199,NH,0.964,NS,-0.6388,NR,-0.9465
227,D,D,D,-0.329,NP,-0.8064,NH,0.9612,NS,-0.6109,NR,-0.9423
228,D,D,D,-0.2873,NP,-0.7945,NH,0.9587,NS,-0.5868,NR,-0.9385
229,D,D,D,-0.2527,NP,-0.7847,NH,0.9567,NS,-0.5669,NR,-0.9355
230,D,D,D,-0.231,NP,-0.7784,NH,0.9555,NS,-0.5544,NR,-0.9335
231,D,D,D,-0.2104,NP,-0.7725,NH,0.9543,NS,-0.5425,NR,-0.9317
232,D,D,D,-0.1965,NP,-0.7685,NH,0.9535,NS,-0.5344,NR,-0.9305
233,D,D,D,-0.198,NP,-0.7689,NH,0.9536,NS,-0.5353,NR,-0.9306
234,D,D,D,-0.1892,NP,-0.7664,NH,0.953,NS,-0.5302,NR,-0.9299
235,D,D,D,-0.1634,NP,-0.7589,NH,0.9515,NS,-0.5153,NR,-0.9277
236,D,D,D,-0.1286,NP,-0.7492,NH,0.9495,NS,-0.4948,NR,-0.9246
237,D,D,D,-0.0901,NP,-0.7367,NH,0.9474,NS,-0.4736,NR,-0.9215
238,D,D,D,-0.0435,NP,-0.7251,NH,0.9445,NS,-0.4451,NR,-0.9172
239,D,D,ND,0.0656,NP,-0.6905,NH,0.9384,NS,-0.3844,NR,-0.9081
240,D,D,ND,0.1798,NP,-0.6522,NH,0.9323,NS,-0.3228,NR,-0.8989
241,D,S,ND,0.3163,NP,-0.5722,NH,0.9277,NS,-0.2767,NR,-0.8921
242,D,S,ND,0.4233,NP,-0.5388,NH,0.9217,NS,-0.2168,NR,-0.8831
243,P,S,ND,0.4851,NP,-0.5393,NH,0.9167,NS,-0.166,NR,-0.8756
244,P,S,ND,0.5129,NP,-0.5461,NH,0.9138,NS,-0.1379,NR,-0.8714
245,P,S,ND,0.5279,NP,-0.5512,NH,0.9122,NS,-0.1215,NR,-0.8689
246,P,S,ND,0.5347,NP,-0.5539,NH,0.9114,NS,-0.1138,NR,-0.8678
247,P,S,ND,0.5394,NP,-0.5547,NH,0.911,NS,-0.1093,NR,-0.8671
248,P,S,ND,0.543,NP,-0.5546,NH,0.9107,NS,-0.1065,NR,-0.8667
249,P,S,ND,0.546,NP,-0.5539,NH,0.9105,NS,-0.1045,NR,-0.8664
250,P,S,ND,0.5497,NP,-0.5521,NH,0.9104,NS,-0.1029,NR,-0.8662
251,P,S,ND,0.5521,NP,-0.5516,NH,0.9104,NS,-0.1011,NR,-0.8661
252,P,S,ND,0.5543,NP,-0.5519,NH,0.9104,NS,-0.0986,NR,-0.8662
253,P,S,ND,0.5566,NP,-0.5535,NH,0.9107,NS,-0.094,NR,-0.8667
254,P,S,ND,0.5601,NP,-0.557,NH,0.9113,NS,-0.0856,NR,-0.8676
255,P,S,ND,0.5617,NP,-0.5587,NH,0.9116,NS,-0.0816,NR,-0.868
256,P,S,ND,0.5628,NP,-0.56,NH,0.9118,NS,-0.0787,NR,-0.8683
257,P,S,ND,0.563,NP,-0.5604,NH,0.9119,NS,-0.0779,NR,-0.8684
258,P,S,ND,0.5631,NP,-0.5606,NH,0.9119,NS,-0.0776,NR,-0.8684
259,P,S,ND,0.5633,NP,-0.5608,NH,0.9119,NS,-0.0771,NR,-0.8685
260,P,S,ND,0.5638,NP,-0.561,NH,0.912,NS,-0.0762,NR,-0.8686
261,S,S,ND,0.5647,NP,-0.5611,NH,0.9122,NS,-0.0749,NR,-0.8689
262,S,S,ND,0.5656,NP,-0.5614,NH,0.9124,NS,-0.0733,NR,-0.8692
263,S,S,ND,0.5662,NP,-0.5615,NH,0.9125,NS,-0.0722,NR,-0.8694
264,S,S,ND,0.5656,NP,-0.5609,NH,0.9124,NS,-0.0736,NR,-0.8692
265,S,S,ND,0.5646,NP,-0.5599,NH,0.9122,NS,-0.0761,NR,-0.8689
266,S,S,ND,0.5628,NP,-0.5581,NH,0.9118,NS,-0.0805,NR,-0.8683
267,S,S,ND,0.5607,NP,-0.5558,NH,0.9114,NS,-0.0859,NR,-0.8677
268,S,S,ND,0.5586,NP,-0.5537,NH,0.911,NS,-0.0912,NR,-0.8671
269,S,S,ND,0.5569,NP,-0.5522,NH,0.9106,NS,-0.0951,NR,-0.8665
270,S,S,ND,0.5558,NP,-0.5515,NH,0.9104,NS,-0.0974,NR,-0.8662
271,S,S,ND,0.5551,NP,-0.5512,NH,0.9103,NS,-0.0988,NR,-0.866
272,S,S,ND,0.5547,NP,-0.5514,NH,0.9102,NS,-0.099,NR,-0.8659
273,S,S,ND,0.5546,NP,-0.5518,NH,0.9102,NS,-0.0988,NR,-0.8659
274,S,S,ND,0.5545,NP,-0.5523,NH,0.9101,NS,-0.0985,NR,-0.8658
275,S,S,ND,0.5544,NP,-0.5526,NH,0.9101,NS,-0.0983,NR,-0.8658
276,S,S,ND,0.5544,NP,-0.5527,NH,0.9101,NS,-0.0983,NR,-0.8658
277,S,S,ND,0.5544,NP,-0.5527,NH,0.9101,NS,-0.0983,NR,-0.8658
278,S,S,ND,0.5544,NP,-0.5526,NH,0.9101,NS,-0.0983,NR,-0.8658
279,S,S,ND,0.5544,NP,-0.5526,NH,0.9101,NS,-0.0983,NR,-0.8658
280,S,S,ND,0.5544,NP,-0.5526,NH,0.9101,NS,-0.0983,NR,-0.8658
281,S,S,ND,0.5545,NP,-0.5525,NH,0.9102,NS,-0.0983,NR,-0.8658
282,S,S,ND,0.5546,NP,-0.5521,NH,0.9102,NS,-0.0985,NR,-0.8659
283,S,S,ND,0.5546,NP,-0.5516,NH,0.9102,NS,-0.0989,NR,-0.8659
284,S,S,ND,0.5546,NP,-0.5515,NH,0.9102,NS,-0.0992,NR,-0.8659
285,S,S,ND,0.5542,NP,-0.5522,NH,0.9101,NS,-0.0989,NR,-0.8658
